


** [ELECTRON] Launch Training on 20230603_1900
{
  "HOST": "etri",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 300,
  "resumeWeight": "./model_weights/20230428_1504_NEW_DLV3PP_FINAL_EPOCH_300_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 5,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 30,
  "lr_scheduling": true,
  "lr": 0.001,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Experiment Comments Title\n  - Sub Comments Line1 \n  - Sub Comments Line2\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230603_1909 [EP 1/500] took: 0h:8m:43s, ETA: 3d:0h:29m:37s [TRAIN] loss: 0.3407, accu-50: 11.65%, iou: 52.96% 852.50ms [EVAL] [1/138 step] loss: 0.9148, accu-50: 36.17%, iou: 4.26%, 235.67m
@20230603_2039 [EP 12/500] took: 0h:8m:14s, ETA: 2d:18h:57m:52s [TRAIN] loss: 0.1378, accu-50: 92.50%, iou: 77.93% 810.73ms [EVAL] [1/138 step] loss: 0.7815, accu-50: 79.47%, iou: 12.20%, 225.00m
@20230603_2048 [EP 13/500] took: 0h:8m:14s, ETA: 2d:18h:49m:38s [TRAIN] loss: 0.1336, accu-50: 92.43%, iou: 78.14% 810.25ms [EVAL] [1/138 step] loss: 0.8220, accu-50: 18.01%, iou: 9.60%, 225.10m
@20230603_2056 [EP 14/500] took: 0h:8m:13s, ETA: 2d:18h:33m:18s [TRAIN] loss: 0.0871, accu-50: 90.93%, iou: 84.17% 810.16ms [EVAL] [1/138 step] loss: 0.1469, accu-50: 86.72%, iou: 73.80%, 224.85m
@20230603_2104 [EP 15/500] took: 0h:8m:14s, ETA: 2d:18h:33m:10s [TRAIN] loss: 0.0743, accu-50: 92.73%, iou: 86.24% 810.37ms [EVAL] [1/138 step] loss: 0.0928, accu-50: 91.01%, iou: 82.34%, 224.60m
@20230603_2112 [EP 16/500] took: 0h:8m:13s, ETA: 2d:18h:16m:52s [TRAIN] loss: 0.0673, accu-50: 93.34%, iou: 87.43% 810.27ms [EVAL] [1/138 step] loss: 0.9120, accu-50: 4.00%, iou: 4.24%, 224.64m
@20230603_2120 [EP 17/500] took: 0h:8m:13s, ETA: 2d:18h:8m:39s [TRAIN] loss: 0.0653, accu-50: 93.48%, iou: 87.77% 809.85ms [EVAL] [1/138 step] loss: 0.8565, accu-50: 94.48%, iou: 7.73%, 225.12m
@20230603_2129 [EP 18/500] took: 0h:8m:13s, ETA: 2d:18h:0m:26s [TRAIN] loss: 0.0642, accu-50: 93.56%, iou: 87.97% 810.23ms [EVAL] [1/138 step] loss: 0.0778, accu-50: 94.10%, iou: 84.89%, 225.24m
@20230603_2137 [EP 19/500] took: 0h:8m:13s, ETA: 2d:17h:52m:13s [TRAIN] loss: 0.0628, accu-50: 93.68%, iou: 88.22% 809.98ms [EVAL] [1/138 step] loss: 0.3886, accu-50: 89.50%, iou: 43.82%, 224.66m
@20230603_2145 [EP 20/500] took: 0h:8m:13s, ETA: 2d:17h:44m:0s [TRAIN] loss: 0.0633, accu-50: 93.49%, iou: 88.14% 809.89ms [EVAL] [1/138 step] loss: 0.1333, accu-50: 96.01%, iou: 75.87%, 225.22m
@20230603_2153 [EP 21/500] took: 0h:8m:12s, ETA: 2d:17h:27m:48s [TRAIN] loss: 0.0613, accu-50: 94.13%, iou: 88.49% 809.89ms [EVAL] [1/138 step] loss: 0.1657, accu-50: 92.97%, iou: 71.04%, 224.67m
@20230603_2201 [EP 22/500] took: 0h:8m:13s, ETA: 2d:17h:27m:34s [TRAIN] loss: 0.0596, accu-50: 94.24%, iou: 88.79% 809.74ms [EVAL] [1/138 step] loss: 0.0762, accu-50: 91.93%, iou: 85.16%, 224.76m
@20230603_2210 [EP 23/500] took: 0h:8m:12s, ETA: 2d:17h:11m:24s [TRAIN] loss: 0.0596, accu-50: 94.26%, iou: 88.79% 809.86ms [EVAL] [1/138 step] loss: 0.0779, accu-50: 88.64%, iou: 84.86%, 224.94m
@20230603_2218 [EP 24/500] took: 0h:8m:12s, ETA: 2d:17h:3m:12s [TRAIN] loss: 0.0604, accu-50: 94.04%, iou: 88.65% 809.55ms [EVAL] [1/138 step] loss: 0.4148, accu-50: 91.71%, iou: 41.20%, 224.41m
@20230603_2226 [EP 25/500] took: 0h:8m:12s, ETA: 2d:16h:55m:0s [TRAIN] loss: 0.0568, accu-50: 94.55%, iou: 89.27% 809.59ms [EVAL] [1/138 step] loss: 0.0802, accu-50: 92.14%, iou: 84.48%, 224.92m
@20230603_2234 [EP 26/500] took: 0h:8m:12s, ETA: 2d:16h:46m:48s [TRAIN] loss: 0.0562, accu-50: 94.53%, iou: 89.40% 809.74ms [EVAL] [1/138 step] loss: 0.0871, accu-50: 87.40%, iou: 83.30%, 225.20m
@20230603_2242 [EP 27/500] took: 0h:8m:12s, ETA: 2d:16h:38m:36s [TRAIN] loss: 0.0549, accu-50: 94.64%, iou: 89.63% 809.83ms [EVAL] [1/138 step] loss: 0.0821, accu-50: 90.82%, iou: 84.16%, 224.80m
@20230603_2250 [EP 28/500] took: 0h:8m:12s, ETA: 2d:16h:30m:24s [TRAIN] loss: 0.0553, accu-50: 94.57%, iou: 89.55% 809.83ms [EVAL] [1/138 step] loss: 0.1026, accu-50: 92.77%, iou: 80.73%, 225.17m
@20230603_2258 [EP 29/500] took: 0h:8m:11s, ETA: 2d:16h:14m:21s [TRAIN] loss: 0.0541, accu-50: 94.78%, iou: 89.76% 809.64ms [EVAL] [1/138 step] loss: 0.0901, accu-50: 91.16%, iou: 82.80%, 224.78m
@20230603_2307 [EP 30/500] took: 0h:8m:11s, ETA: 2d:16h:6m:10s [TRAIN] loss: 0.0532, accu-50: 94.89%, iou: 89.93% 809.97ms [EVAL] [1/138 step] loss: 0.0920, accu-50: 86.37%, iou: 82.47%, 224.90m
@20230603_2315 [EP 31/500] took: 0h:8m:11s, ETA: 2d:15h:57m:59s [TRAIN] loss: 0.0537, accu-50: 94.82%, iou: 89.86% 809.16ms [EVAL] [1/138 step] loss: 0.2559, accu-50: 74.40%, iou: 58.80%, 224.87m
@20230603_2323 [EP 32/500] took: 0h:8m:11s, ETA: 2d:15h:49m:48s [TRAIN] loss: 0.0517, accu-50: 94.97%, iou: 90.19% 810.08ms [EVAL] [1/138 step] loss: 0.1847, accu-50: 91.89%, iou: 68.34%, 225.03m
@20230603_2331 [EP 33/500] took: 0h:8m:11s, ETA: 2d:15h:41m:37s [TRAIN] loss: 0.0522, accu-50: 94.77%, iou: 90.11% 809.84ms [EVAL] [1/138 step] loss: 0.1539, accu-50: 85.42%, iou: 72.76%, 224.67m
@20230603_2339 [EP 34/500] took: 0h:8m:11s, ETA: 2d:15h:33m:26s [TRAIN] loss: 0.0532, accu-50: 94.71%, iou: 89.93% 809.87ms [EVAL] [1/138 step] loss: 0.0957, accu-50: 86.38%, iou: 81.86%, 224.94m
@20230603_2347 [EP 35/500] took: 0h:8m:11s, ETA: 2d:15h:25m:15s [TRAIN] loss: 0.0506, accu-50: 95.08%, iou: 90.40% 809.61ms [EVAL] [1/138 step] loss: 0.0847, accu-50: 87.96%, iou: 83.72%, 224.57m
@20230603_2355 [EP 36/500] took: 0h:8m:11s, ETA: 2d:15h:17m:4s [TRAIN] loss: 0.0497, accu-50: 95.28%, iou: 90.55% 809.21ms [EVAL] [1/138 step] loss: 0.1411, accu-50: 93.96%, iou: 74.66%, 224.45m
@20230604_0004 [EP 37/500] took: 0h:8m:11s, ETA: 2d:15h:8m:53s [TRAIN] loss: 0.0502, accu-50: 95.24%, iou: 90.47% 809.40ms [EVAL] [1/138 step] loss: 0.0698, accu-50: 92.96%, iou: 86.26%, 224.66m
@20230604_0012 [EP 38/500] took: 0h:8m:11s, ETA: 2d:15h:0m:42s [TRAIN] loss: 0.0488, accu-50: 95.34%, iou: 90.72% 809.87ms [EVAL] [1/138 step] loss: 0.0990, accu-50: 87.30%, iou: 81.33%, 225.02m
@20230604_0020 [EP 39/500] took: 0h:8m:11s, ETA: 2d:14h:52m:31s [TRAIN] loss: 0.0483, accu-50: 95.23%, iou: 90.81% 809.76ms [EVAL] [1/138 step] loss: 0.0692, accu-50: 92.46%, iou: 86.37%, 225.07m
@20230604_0028 [EP 40/500] took: 0h:8m:11s, ETA: 2d:14h:44m:20s [TRAIN] loss: 0.0475, accu-50: 95.49%, iou: 90.96% 809.78ms [EVAL] [1/138 step] loss: 0.1770, accu-50: 81.67%, iou: 69.43%, 224.84m
@20230604_0037 [EP 41/500] took: 0h:8m:11s, ETA: 2d:14h:36m:9s [TRAIN] loss: 0.0474, accu-50: 95.48%, iou: 90.97% 809.56ms [EVAL] [1/138 step] loss: 0.0779, accu-50: 90.22%, iou: 84.87%, 225.12m
@20230604_0045 [EP 42/500] took: 0h:8m:11s, ETA: 2d:14h:27m:58s [TRAIN] loss: 0.0480, accu-50: 95.38%, iou: 90.86% 809.62ms [EVAL] [1/138 step] loss: 0.0918, accu-50: 88.98%, iou: 82.52%, 224.47m
@20230604_0053 [EP 43/500] took: 0h:8m:11s, ETA: 2d:14h:19m:47s [TRAIN] loss: 0.0475, accu-50: 95.41%, iou: 90.95% 809.35ms [EVAL] [1/138 step] loss: 0.1895, accu-50: 72.75%, iou: 67.64%, 224.68m
@20230604_0101 [EP 44/500] took: 0h:8m:11s, ETA: 2d:14h:11m:36s [TRAIN] loss: 0.0469, accu-50: 95.46%, iou: 91.06% 809.33ms [EVAL] [1/138 step] loss: 0.0842, accu-50: 93.48%, iou: 83.81%, 224.98m
@20230604_0109 [EP 45/500] took: 0h:8m:10s, ETA: 2d:13h:55m:50s [TRAIN] loss: 0.0461, accu-50: 95.61%, iou: 91.21% 809.38ms [EVAL] [1/138 step] loss: 0.1284, accu-50: 89.75%, iou: 76.66%, 224.85m
@20230604_0117 [EP 46/500] took: 0h:8m:10s, ETA: 2d:13h:47m:40s [TRAIN] loss: 0.0462, accu-50: 95.61%, iou: 91.20% 809.69ms [EVAL] [1/138 step] loss: 0.1334, accu-50: 85.05%, iou: 75.84%, 224.86m
@20230604_0125 [EP 47/500] took: 0h:8m:10s, ETA: 2d:13h:39m:30s [TRAIN] loss: 0.0451, accu-50: 95.54%, iou: 91.39% 809.36ms [EVAL] [1/138 step] loss: 0.0952, accu-50: 88.88%, iou: 81.93%, 225.22m
@20230604_0134 [EP 48/500] took: 0h:8m:10s, ETA: 2d:13h:31m:20s [TRAIN] loss: 0.0426, accu-50: 95.69%, iou: 91.85% 809.62ms [EVAL] [1/138 step] loss: 0.1175, accu-50: 86.73%, iou: 78.36%, 225.02m
@20230604_0142 [EP 49/500] took: 0h:8m:10s, ETA: 2d:13h:23m:10s [TRAIN] loss: 0.0422, accu-50: 95.77%, iou: 91.92% 809.25ms [EVAL] [1/138 step] loss: 0.0622, accu-50: 94.47%, iou: 87.59%, 225.22m
@20230604_0150 [EP 50/500] took: 0h:8m:10s, ETA: 2d:13h:15m:0s [TRAIN] loss: 0.0423, accu-50: 95.84%, iou: 91.90% 809.33ms [EVAL] [1/138 step] loss: 0.0765, accu-50: 87.88%, iou: 85.10%, 224.94m
@20230604_0158 [EP 51/500] took: 0h:8m:10s, ETA: 2d:13h:6m:50s [TRAIN] loss: 0.0422, accu-50: 95.80%, iou: 91.92% 809.26ms [EVAL] [1/138 step] loss: 0.0742, accu-50: 95.25%, iou: 85.49%, 225.10m
@20230604_0206 [EP 52/500] took: 0h:8m:10s, ETA: 2d:12h:58m:40s [TRAIN] loss: 0.0426, accu-50: 95.69%, iou: 91.84% 809.35ms [EVAL] [1/138 step] loss: 0.0809, accu-50: 90.17%, iou: 84.35%, 224.63m
@20230604_0215 [EP 53/500] took: 0h:8m:10s, ETA: 2d:12h:50m:30s [TRAIN] loss: 0.0443, accu-50: 95.68%, iou: 91.53% 809.33ms [EVAL] [1/138 step] loss: 0.1485, accu-50: 85.80%, iou: 73.57%, 225.17m
@20230604_0223 [EP 54/500] took: 0h:8m:10s, ETA: 2d:12h:42m:20s [TRAIN] loss: 0.0414, accu-50: 95.87%, iou: 92.06% 809.48ms [EVAL] [1/138 step] loss: 0.0798, accu-50: 88.11%, iou: 84.53%, 224.97m
@20230604_0231 [EP 55/500] took: 0h:8m:10s, ETA: 2d:12h:34m:10s [TRAIN] loss: 0.0410, accu-50: 95.97%, iou: 92.15% 809.53ms [EVAL] [1/138 step] loss: 0.0650, accu-50: 91.26%, iou: 87.10%, 224.61m
@20230604_0239 [EP 56/500] took: 0h:8m:10s, ETA: 2d:12h:26m:0s [TRAIN] loss: 0.0413, accu-50: 95.84%, iou: 92.08% 809.47ms [EVAL] [1/138 step] loss: 0.0683, accu-50: 89.60%, iou: 86.52%, 225.01m
@20230604_0247 [EP 57/500] took: 0h:8m:10s, ETA: 2d:12h:17m:50s [TRAIN] loss: 0.0411, accu-50: 95.92%, iou: 92.11% 809.55ms [EVAL] [1/138 step] loss: 0.1626, accu-50: 76.38%, iou: 71.46%, 225.20m
@20230604_0255 [EP 58/500] took: 0h:8m:10s, ETA: 2d:12h:9m:40s [TRAIN] loss: 0.0405, accu-50: 95.92%, iou: 92.23% 809.37ms [EVAL] [1/138 step] loss: 0.0741, accu-50: 89.23%, iou: 85.52%, 225.21m
@20230604_0303 [EP 59/500] took: 0h:8m:10s, ETA: 2d:12h:1m:30s [TRAIN] loss: 0.0403, accu-50: 95.99%, iou: 92.26% 809.52ms [EVAL] [1/138 step] loss: 0.1366, accu-50: 83.94%, iou: 75.36%, 225.16m
@20230604_0312 [EP 60/500] took: 0h:8m:10s, ETA: 2d:11h:53m:20s [TRAIN] loss: 0.0404, accu-50: 95.91%, iou: 92.25% 809.36ms [EVAL] [1/138 step] loss: 0.1873, accu-50: 73.89%, iou: 67.91%, 224.88m
@20230604_0320 [EP 61/500] took: 0h:8m:10s, ETA: 2d:11h:45m:10s [TRAIN] loss: 0.0395, accu-50: 96.04%, iou: 92.42% 809.25ms [EVAL] [1/138 step] loss: 0.1386, accu-50: 80.91%, iou: 75.07%, 225.29m
@20230604_0328 [EP 62/500] took: 0h:8m:10s, ETA: 2d:11h:37m:0s [TRAIN] loss: 0.0394, accu-50: 96.03%, iou: 92.43% 809.45ms [EVAL] [1/138 step] loss: 0.1186, accu-50: 85.18%, iou: 78.18%, 225.34m
@20230604_0336 [EP 63/500] took: 0h:8m:10s, ETA: 2d:11h:28m:50s [TRAIN] loss: 0.0399, accu-50: 96.05%, iou: 92.34% 809.31ms [EVAL] [1/138 step] loss: 0.1106, accu-50: 85.25%, iou: 79.43%, 224.76m
@20230604_0344 [EP 64/500] took: 0h:8m:10s, ETA: 2d:11h:20m:40s [TRAIN] loss: 0.0396, accu-50: 96.06%, iou: 92.41% 809.20ms [EVAL] [1/138 step] loss: 0.1169, accu-50: 84.54%, iou: 78.44%, 224.97m
@20230604_0352 [EP 65/500] took: 0h:8m:10s, ETA: 2d:11h:12m:30s [TRAIN] loss: 0.0388, accu-50: 96.17%, iou: 92.54% 809.13ms [EVAL] [1/138 step] loss: 0.1350, accu-50: 86.76%, iou: 75.63%, 224.79m
@20230604_0400 [EP 66/500] took: 0h:8m:10s, ETA: 2d:11h:4m:20s [TRAIN] loss: 0.0386, accu-50: 96.19%, iou: 92.58% 809.29ms [EVAL] [1/138 step] loss: 0.3062, accu-50: 72.54%, iou: 52.76%, 224.87m
@20230604_0409 [EP 67/500] took: 0h:8m:10s, ETA: 2d:10h:56m:10s [TRAIN] loss: 0.0383, accu-50: 96.20%, iou: 92.63% 809.70ms [EVAL] [1/138 step] loss: 0.1507, accu-50: 85.08%, iou: 73.27%, 224.88m
@20230604_0417 [EP 68/500] took: 0h:8m:10s, ETA: 2d:10h:48m:0s [TRAIN] loss: 0.0378, accu-50: 96.16%, iou: 92.73% 809.35ms [EVAL] [1/138 step] loss: 0.3027, accu-50: 57.95%, iou: 53.18%, 225.07m
@20230604_0425 [EP 69/500] took: 0h:8m:10s, ETA: 2d:10h:39m:50s [TRAIN] loss: 0.0384, accu-50: 96.10%, iou: 92.62% 809.19ms [EVAL] [1/138 step] loss: 0.1225, accu-50: 84.70%, iou: 77.57%, 224.91m
@20230604_0433 [EP 70/500] took: 0h:8m:9s, ETA: 2d:10h:24m:30s [TRAIN] loss: 0.0384, accu-50: 96.06%, iou: 92.61% 809.15ms [EVAL] [1/138 step] loss: 0.1102, accu-50: 88.54%, iou: 79.54%, 225.13m
@20230604_0441 [EP 71/500] took: 0h:8m:9s, ETA: 2d:10h:16m:21s [TRAIN] loss: 0.0372, accu-50: 96.25%, iou: 92.83% 808.92ms [EVAL] [1/138 step] loss: 0.0915, accu-50: 90.79%, iou: 82.57%, 225.04m
@20230604_0449 [EP 72/500] took: 0h:8m:10s, ETA: 2d:10h:15m:20s [TRAIN] loss: 0.0384, accu-50: 96.18%, iou: 92.62% 809.23ms [EVAL] [1/138 step] loss: 0.0531, accu-50: 93.63%, iou: 89.21%, 224.86m
@20230604_0458 [EP 73/500] took: 0h:8m:10s, ETA: 2d:10h:7m:10s [TRAIN] loss: 0.0375, accu-50: 96.22%, iou: 92.79% 809.40ms [EVAL] [1/138 step] loss: 0.0692, accu-50: 92.67%, iou: 86.36%, 225.16m
@20230604_0506 [EP 74/500] took: 0h:8m:10s, ETA: 2d:9h:59m:0s [TRAIN] loss: 0.0371, accu-50: 96.34%, iou: 92.87% 808.85ms [EVAL] [1/138 step] loss: 0.1626, accu-50: 84.52%, iou: 71.50%, 224.94m
@20230604_0514 [EP 75/500] took: 0h:8m:9s, ETA: 2d:9h:43m:45s [TRAIN] loss: 0.0370, accu-50: 96.34%, iou: 92.87% 809.24ms [EVAL] [1/138 step] loss: 0.1415, accu-50: 89.60%, iou: 74.63%, 225.00m
@20230604_0522 [EP 76/500] took: 0h:8m:9s, ETA: 2d:9h:35m:36s [TRAIN] loss: 0.0373, accu-50: 96.29%, iou: 92.82% 809.17ms [EVAL] [1/138 step] loss: 0.0655, accu-50: 94.36%, iou: 87.01%, 224.94m
@20230604_0530 [EP 77/500] took: 0h:8m:9s, ETA: 2d:9h:27m:27s [TRAIN] loss: 0.0373, accu-50: 96.26%, iou: 92.82% 809.16ms [EVAL] [1/138 step] loss: 0.2525, accu-50: 81.76%, iou: 59.33%, 224.97m
@20230604_0538 [EP 78/500] took: 0h:8m:9s, ETA: 2d:9h:19m:18s [TRAIN] loss: 0.0366, accu-50: 96.41%, iou: 92.94% 809.32ms [EVAL] [1/138 step] loss: 0.1677, accu-50: 78.99%, iou: 70.76%, 224.60m
@20230604_0546 [EP 79/500] took: 0h:8m:9s, ETA: 2d:9h:11m:9s [TRAIN] loss: 0.0371, accu-50: 96.32%, iou: 92.86% 808.89ms [EVAL] [1/138 step] loss: 0.1496, accu-50: 85.76%, iou: 73.39%, 225.00m
@20230604_0555 [EP 80/500] took: 0h:8m:9s, ETA: 2d:9h:3m:0s [TRAIN] loss: 0.0362, accu-50: 96.39%, iou: 93.02% 809.21ms [EVAL] [1/138 step] loss: 0.0798, accu-50: 90.79%, iou: 84.54%, 224.85m
@20230604_0603 [EP 81/500] took: 0h:8m:9s, ETA: 2d:8h:54m:51s [TRAIN] loss: 0.0363, accu-50: 96.35%, iou: 93.00% 809.01ms [EVAL] [1/138 step] loss: 0.0728, accu-50: 92.16%, iou: 85.74%, 224.89m
@20230604_0611 [EP 82/500] took: 0h:8m:9s, ETA: 2d:8h:46m:42s [TRAIN] loss: 0.0363, accu-50: 96.33%, iou: 93.01% 809.09ms [EVAL] [1/138 step] loss: 0.0709, accu-50: 94.29%, iou: 86.07%, 225.29m
@20230604_0619 [EP 83/500] took: 0h:8m:9s, ETA: 2d:8h:38m:33s [TRAIN] loss: 0.0362, accu-50: 96.40%, iou: 93.02% 808.98ms [EVAL] [1/138 step] loss: 0.0755, accu-50: 89.86%, iou: 85.28%, 224.87m
@20230604_0627 [EP 84/500] took: 0h:8m:9s, ETA: 2d:8h:30m:24s [TRAIN] loss: 0.0358, accu-50: 96.45%, iou: 93.11% 809.01ms [EVAL] [1/138 step] loss: 0.1440, accu-50: 88.84%, iou: 74.28%, 224.87m
@20230604_0635 [EP 85/500] took: 0h:8m:9s, ETA: 2d:8h:22m:15s [TRAIN] loss: 0.0367, accu-50: 96.35%, iou: 92.94% 809.08ms [EVAL] [1/138 step] loss: 0.1837, accu-50: 71.97%, iou: 68.47%, 224.57m
@20230604_0643 [EP 86/500] took: 0h:8m:9s, ETA: 2d:8h:14m:6s [TRAIN] loss: 0.0358, accu-50: 96.42%, iou: 93.10% 809.01ms [EVAL] [1/138 step] loss: 0.0542, accu-50: 94.69%, iou: 89.02%, 224.77m
@20230604_0652 [EP 87/500] took: 0h:8m:9s, ETA: 2d:8h:5m:57s [TRAIN] loss: 0.0358, accu-50: 96.48%, iou: 93.09% 808.74ms [EVAL] [1/138 step] loss: 0.0621, accu-50: 92.51%, iou: 87.60%, 225.11m
@20230604_0700 [EP 88/500] took: 0h:8m:9s, ETA: 2d:7h:57m:48s [TRAIN] loss: 0.0356, accu-50: 96.47%, iou: 93.14% 808.95ms [EVAL] [1/138 step] loss: 0.0685, accu-50: 93.41%, iou: 86.49%, 225.00m
@20230604_0708 [EP 89/500] took: 0h:8m:9s, ETA: 2d:7h:49m:39s [TRAIN] loss: 0.0356, accu-50: 96.49%, iou: 93.13% 808.91ms [EVAL] [1/138 step] loss: 0.0722, accu-50: 90.77%, iou: 85.84%, 225.02m
@20230604_0716 [EP 90/500] took: 0h:8m:9s, ETA: 2d:7h:41m:30s [TRAIN] loss: 0.0353, accu-50: 96.52%, iou: 93.20% 809.06ms [EVAL] [1/138 step] loss: 0.0920, accu-50: 90.62%, iou: 82.49%, 225.49m
@20230604_0724 [EP 91/500] took: 0h:8m:9s, ETA: 2d:7h:33m:21s [TRAIN] loss: 0.0354, accu-50: 96.49%, iou: 93.18% 808.88ms [EVAL] [1/138 step] loss: 0.0604, accu-50: 92.93%, iou: 87.90%, 225.11m
@20230604_0732 [EP 92/500] took: 0h:8m:9s, ETA: 2d:7h:25m:12s [TRAIN] loss: 0.0351, accu-50: 96.57%, iou: 93.23% 808.95ms [EVAL] [1/138 step] loss: 0.0599, accu-50: 91.07%, iou: 87.99%, 225.09m
@20230604_0740 [EP 93/500] took: 0h:8m:9s, ETA: 2d:7h:17m:3s [TRAIN] loss: 0.0351, accu-50: 96.49%, iou: 93.23% 809.30ms [EVAL] [1/138 step] loss: 0.1367, accu-50: 81.45%, iou: 75.35%, 224.80m
@20230604_0749 [EP 94/500] took: 0h:8m:9s, ETA: 2d:7h:8m:54s [TRAIN] loss: 0.0354, accu-50: 96.58%, iou: 93.18% 809.11ms [EVAL] [1/138 step] loss: 0.1009, accu-50: 86.39%, iou: 81.05%, 225.02m
@20230604_0757 [EP 95/500] took: 0h:8m:9s, ETA: 2d:7h:0m:45s [TRAIN] loss: 0.0357, accu-50: 96.27%, iou: 93.11% 808.92ms [EVAL] [1/138 step] loss: 0.1548, accu-50: 77.37%, iou: 72.63%, 224.94m
@20230604_0805 [EP 96/500] took: 0h:8m:9s, ETA: 2d:6h:52m:36s [TRAIN] loss: 0.0345, accu-50: 96.61%, iou: 93.34% 808.95ms [EVAL] [1/138 step] loss: 0.0583, accu-50: 93.80%, iou: 88.27%, 225.00m
@20230604_0813 [EP 97/500] took: 0h:8m:9s, ETA: 2d:6h:44m:27s [TRAIN] loss: 0.0348, accu-50: 96.49%, iou: 93.28% 809.00ms [EVAL] [1/138 step] loss: 0.1080, accu-50: 91.20%, iou: 79.88%, 224.88m
