

** [alpha] Launch Training on 20230814_0635 HPO desc: alpha_0.75_lambda_weight_0.33
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "plot": false,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "gpuIDs": "0,1,2,3",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 250,
  "resume": false,
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 14,
  "optimizer": "Adam",
  "loss": "combined_loss",
  "early_stop": false,
  "lr_scheduling": "exp",
  "lr": 0.0001,
  "stepwise_scheduling": true,
  "decay_steps": 1.0,
  "hpo_params": [
    "alpha",
    "lambda_weight"
  ],
  "lambda_weight": [
    0.1,
    0.2,
    0.33
  ],
  "alpha": [
    0.25,
    0.5,
    0.75
  ],
  "train_annotation": "./Annotations/consolidate_train_db_20230808_1942.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230808_1942.txt",
  "exp_comment": "* HPO test\n*   20230811: \n*   20230812: init lr -> 0.0001\n",
  "numGPUs": 4,
  "finalEPOCH": 250,
  "isCompleted": false,
  "config": "Config/TRAIN_DLV3_ResNet50_HPO.yaml",
  "numTrainDB": 11830,
  "numEvalDB": 3600,
  "numTrainSteps": 211,
  "numEvalSteps": 64,
  "train": {
    "loss": [],
    "iou": [],
    "f1": []
  },
  "eval": {
    "loss": [],
    "iou": [],
    "f1": []
  },
  "dbg_file_logging": "dbg_file_logging",
  "log_file": "<_io.TextIOWrapper name='logs/hpo_history_log/20230812_1837/hpo_log_DLV3+_ResNet50_alpha_0.75_lambda_weight_0.33.txt' mode='w' encoding='UTF-8'>",
  "github_logging": "github_logging",
  "github_log_file": "logs/hpo/DLV3+_ResNet50_alpha_0.75_lambda_weight_0.2.txt"
}
@20230814_0637 @20230814_0637 [EP 1/250] lr: 9.97904353425838e-05, took: 113.06s (avg: 113.06s), ETA: 0d:7h:48m:57s [TRAIN] loss: 17028.6895, iou: 0.0037, f1: 0.0073 [EVAL] loss: 20807.4961, iou: 0.0029, f1: 0.0058
@20230814_0704 @20230814_0704 [EP 24/250] lr: 9.518098522676155e-05, took: 61.85s (avg: 61.85s), ETA: 0d:3h:49m:46s [TRAIN] loss: 466.8100, iou: 0.3923, f1: 0.5567 [EVAL] loss: 2661.2173, iou: 0.1080, f1: 0.1911
@20230814_0705 @20230814_0705 [EP 25/250] lr: 9.499021689407527e-05, took: 62.71s (avg: 62.71s), ETA: 0d:3h:52m:30s [TRAIN] loss: 446.8641, iou: 0.4158, f1: 0.5814 [EVAL] loss: 1476.7551, iou: 0.2611, f1: 0.4101
@20230814_0706 @20230814_0706 [EP 26/250] lr: 9.480020526098087e-05, took: 61.82s (avg: 61.82s), ETA: 0d:3h:47m:44s [TRAIN] loss: 453.2130, iou: 0.4235, f1: 0.5892 [EVAL] loss: 1649.8646, iou: 0.2518, f1: 0.3984
@20230814_0707 @20230814_0707 [EP 27/250] lr: 9.461095760343596e-05, took: 61.97s (avg: 61.97s), ETA: 0d:3h:46m:43s [TRAIN] loss: 451.5493, iou: 0.4326, f1: 0.5983 [EVAL] loss: 1759.1917, iou: 0.2547, f1: 0.4020
@20230814_0708 @20230814_0708 [EP 28/250] lr: 9.442246664548293e-05, took: 61.92s (avg: 61.92s), ETA: 0d:3h:45m:42s [TRAIN] loss: 441.7535, iou: 0.4422, f1: 0.6076 [EVAL] loss: 2807.8137, iou: 0.0905, f1: 0.1611
@20230814_0709 @20230814_0709 [EP 29/250] lr: 9.423471783520654e-05, took: 61.96s (avg: 61.96s), ETA: 0d:3h:44m:41s [TRAIN] loss: 451.0378, iou: 0.4450, f1: 0.6105 [EVAL] loss: 1507.4933, iou: 0.2776, f1: 0.4306
@20230814_0710 @20230814_0710 [EP 30/250] lr: 9.404771844856441e-05, took: 61.88s (avg: 61.88s), ETA: 0d:3h:43m:40s [TRAIN] loss: 437.2836, iou: 0.4573, f1: 0.6224 [EVAL] loss: 1233.6208, iou: 0.3446, f1: 0.5088
@20230814_0711 @20230814_0711 [EP 31/250] lr: 9.386146120959893e-05, took: 61.92s (avg: 61.92s), ETA: 0d:3h:42m:39s [TRAIN] loss: 420.7511, iou: 0.4685, f1: 0.6329 [EVAL] loss: 1190.6885, iou: 0.3512, f1: 0.5161
@20230814_0713 @20230814_0713 [EP 32/250] lr: 9.367593156639487e-05, took: 61.73s (avg: 61.73s), ETA: 0d:3h:41m:38s [TRAIN] loss: 411.7415, iou: 0.4762, f1: 0.6401 [EVAL] loss: 1057.8802, iou: 0.4180, f1: 0.5857
@20230814_0714 @20230814_0714 [EP 33/250] lr: 9.349114407086745e-05, took: 61.92s (avg: 61.92s), ETA: 0d:3h:40m:37s [TRAIN] loss: 389.3729, iou: 0.4920, f1: 0.6548 [EVAL] loss: 1527.0045, iou: 0.2923, f1: 0.4470
@20230814_0715 @20230814_0715 [EP 34/250] lr: 9.330707689514384e-05, took: 61.87s (avg: 61.87s), ETA: 0d:3h:39m:36s [TRAIN] loss: 388.1703, iou: 0.5015, f1: 0.6634 [EVAL] loss: 1293.6848, iou: 0.3698, f1: 0.5367
@20230814_0716 @20230814_0716 [EP 35/250] lr: 9.312373731518164e-05, took: 61.87s (avg: 61.87s), ETA: 0d:3h:38m:35s [TRAIN] loss: 388.2035, iou: 0.5074, f1: 0.6688 [EVAL] loss: 1349.9827, iou: 0.3981, f1: 0.5643
@20230814_0717 @20230814_0717 [EP 36/250] lr: 9.294111805502325e-05, took: 61.82s (avg: 61.82s), ETA: 0d:3h:37m:34s [TRAIN] loss: 377.1980, iou: 0.5180, f1: 0.6783 [EVAL] loss: 1309.5360, iou: 0.4149, f1: 0.5818
@20230814_0718 @20230814_0718 [EP 37/250] lr: 9.275921183871105e-05, took: 61.96s (avg: 61.96s), ETA: 0d:3h:36m:33s [TRAIN] loss: 384.3466, iou: 0.5260, f1: 0.6853 [EVAL] loss: 1722.5061, iou: 0.2636, f1: 0.4117
@20230814_0719 @20230814_0719 [EP 38/250] lr: 9.257801139028743e-05, took: 62.01s (avg: 62.01s), ETA: 0d:3h:39m:4s [TRAIN] loss: 374.4722, iou: 0.5362, f1: 0.6941 [EVAL] loss: 1165.9662, iou: 0.4104, f1: 0.5782
@20230814_0720 @20230814_0720 [EP 39/250] lr: 9.239752398571e-05, took: 61.88s (avg: 61.88s), ETA: 0d:3h:34m:31s [TRAIN] loss: 382.3772, iou: 0.5419, f1: 0.6991 [EVAL] loss: 1711.4219, iou: 0.2881, f1: 0.4411
@20230814_0721 @20230814_0721 [EP 40/250] lr: 9.221773507306352e-05, took: 61.74s (avg: 61.74s), ETA: 0d:3h:33m:30s [TRAIN] loss: 376.1211, iou: 0.5422, f1: 0.6993 [EVAL] loss: 1779.8508, iou: 0.3071, f1: 0.4643
@20230814_0722 @20230814_0722 [EP 41/250] lr: 9.203865192830563e-05, took: 61.97s (avg: 61.97s), ETA: 0d:3h:32m:29s [TRAIN] loss: 364.1582, iou: 0.5616, f1: 0.7157 [EVAL] loss: 1623.6930, iou: 0.3403, f1: 0.5029
@20230814_0723 @20230814_0723 [EP 42/250] lr: 9.186025272356346e-05, took: 61.78s (avg: 61.78s), ETA: 0d:3h:31m:28s [TRAIN] loss: 378.6460, iou: 0.5670, f1: 0.7202 [EVAL] loss: 1352.7188, iou: 0.3120, f1: 0.4708
@20230814_0724 @20230814_0724 [EP 43/250] lr: 9.168255201075226e-05, took: 61.79s (avg: 61.79s), ETA: 0d:3h:30m:27s [TRAIN] loss: 375.4978, iou: 0.5720, f1: 0.7244 [EVAL] loss: 1689.2076, iou: 0.2887, f1: 0.4424
@20230814_0726 @20230814_0726 [EP 44/250] lr: 9.150553523795679e-05, took: 61.73s (avg: 61.73s), ETA: 0d:3h:29m:26s [TRAIN] loss: 367.6167, iou: 0.5818, f1: 0.7324 [EVAL] loss: 1666.1442, iou: 0.3148, f1: 0.4737
@20230814_0727 @20230814_0727 [EP 45/250] lr: 9.132920968113467e-05, took: 61.87s (avg: 61.87s), ETA: 0d:3h:28m:25s [TRAIN] loss: 347.6314, iou: 0.5940, f1: 0.7422 [EVAL] loss: 1057.4562, iou: 0.4056, f1: 0.5741
@20230814_0728 @20230814_0728 [EP 46/250] lr: 9.115355351241305e-05, took: 61.69s (avg: 61.69s), ETA: 0d:3h:27m:24s [TRAIN] loss: 341.7267, iou: 0.6030, f1: 0.7496 [EVAL] loss: 1602.5339, iou: 0.3412, f1: 0.5038
@20230814_0729 @20230814_0729 [EP 47/250] lr: 9.097856673179194e-05, took: 61.92s (avg: 61.92s), ETA: 0d:3h:26m:23s [TRAIN] loss: 333.5371, iou: 0.6127, f1: 0.7572 [EVAL] loss: 1176.6252, iou: 0.4555, f1: 0.6217
@20230814_0730 @20230814_0730 [EP 48/250] lr: 9.080425661522895e-05, took: 61.75s (avg: 61.75s), ETA: 0d:3h:25m:22s [TRAIN] loss: 322.7415, iou: 0.6151, f1: 0.7587 [EVAL] loss: 1627.7019, iou: 0.3847, f1: 0.5498
@20230814_0731 @20230814_0731 [EP 49/250] lr: 9.063060861080885e-05, took: 61.87s (avg: 61.87s), ETA: 0d:3h:24m:21s [TRAIN] loss: 324.1746, iou: 0.6346, f1: 0.7741 [EVAL] loss: 1464.4584, iou: 0.4023, f1: 0.5694
@20230814_0732 @20230814_0732 [EP 50/250] lr: 9.045762271853164e-05, took: 61.72s (avg: 61.72s), ETA: 0d:3h:23m:20s [TRAIN] loss: 331.9551, iou: 0.6365, f1: 0.7756 [EVAL] loss: 1258.2743, iou: 0.4543, f1: 0.6203
@20230814_0733 @20230814_0733 [EP 51/250] lr: 9.028529893839732e-05, took: 61.85s (avg: 61.85s), ETA: 0d:3h:22m:19s [TRAIN] loss: 325.7989, iou: 0.6443, f1: 0.7815 [EVAL] loss: 867.0561, iou: 0.5338, f1: 0.6941
@20230814_0734 @20230814_0734 [EP 52/250] lr: 9.011362999444827e-05, took: 61.91s (avg: 61.91s), ETA: 0d:3h:21m:18s [TRAIN] loss: 317.7706, iou: 0.6566, f1: 0.7906 [EVAL] loss: 1438.0627, iou: 0.4358, f1: 0.6024
@20230814_0735 @20230814_0735 [EP 53/250] lr: 8.994261588668451e-05, took: 62.04s (avg: 62.04s), ETA: 0d:3h:23m:34s [TRAIN] loss: 317.9431, iou: 0.6613, f1: 0.7942 [EVAL] loss: 1439.6868, iou: 0.4545, f1: 0.6205
@20230814_0737 @20230814_0736 [EP 54/250] lr: 8.97722493391484e-05, took: 62.01s (avg: 62.01s), ETA: 0d:3h:22m:32s [TRAIN] loss: 311.3758, iou: 0.6414, f1: 0.7782 [EVAL] loss: 1129.2030, iou: 0.5080, f1: 0.6708
@20230814_0738 @20230814_0738 [EP 55/250] lr: 8.960252307588235e-05, took: 61.81s (avg: 61.81s), ETA: 0d:3h:18m:15s [TRAIN] loss: 309.0479, iou: 0.6736, f1: 0.8031 [EVAL] loss: 1156.3177, iou: 0.4972, f1: 0.6610
@20230814_0739 @20230814_0739 [EP 56/250] lr: 8.943343709688634e-05, took: 61.84s (avg: 61.84s), ETA: 0d:3h:17m:14s [TRAIN] loss: 315.3019, iou: 0.6859, f1: 0.8119 [EVAL] loss: 1062.5500, iou: 0.5556, f1: 0.7110
@20230814_0740 @20230814_0740 [EP 57/250] lr: 8.926499140216038e-05, took: 61.89s (avg: 61.89s), ETA: 0d:3h:16m:13s [TRAIN] loss: 318.3831, iou: 0.6894, f1: 0.8145 [EVAL] loss: 1593.2032, iou: 0.3349, f1: 0.4969
@20230814_0741 @20230814_0741 [EP 58/250] lr: 8.909717871574685e-05, took: 61.84s (avg: 61.84s), ETA: 0d:3h:15m:12s [TRAIN] loss: 308.9516, iou: 0.6961, f1: 0.8192 [EVAL] loss: 1584.3806, iou: 0.4280, f1: 0.5953
@20230814_0742 @20230814_0742 [EP 59/250] lr: 8.892999176168814e-05, took: 61.90s (avg: 61.90s), ETA: 0d:3h:14m:11s [TRAIN] loss: 305.4760, iou: 0.6997, f1: 0.8217 [EVAL] loss: 1049.7451, iou: 0.5573, f1: 0.7132
@20230814_0743 @20230814_0743 [EP 60/250] lr: 8.876343053998426e-05, took: 61.77s (avg: 61.77s), ETA: 0d:3h:13m:10s [TRAIN] loss: 294.8719, iou: 0.7082, f1: 0.8277 [EVAL] loss: 1201.7900, iou: 0.5016, f1: 0.6654
@20230814_0744 @20230814_0744 [EP 61/250] lr: 8.859749505063519e-05, took: 61.91s (avg: 61.91s), ETA: 0d:3h:12m:9s [TRAIN] loss: 289.9422, iou: 0.7178, f1: 0.8344 [EVAL] loss: 1523.5873, iou: 0.4469, f1: 0.6134
@20230814_0745 @20230814_0745 [EP 62/250] lr: 8.843218529364094e-05, took: 61.81s (avg: 61.81s), ETA: 0d:3h:11m:8s [TRAIN] loss: 281.8320, iou: 0.7249, f1: 0.8393 [EVAL] loss: 1092.7406, iou: 0.5581, f1: 0.7137
@20230814_0747 @20230814_0747 [EP 63/250] lr: 8.826747944112867e-05, took: 61.78s (avg: 61.78s), ETA: 0d:3h:10m:7s [TRAIN] loss: 280.3299, iou: 0.7297, f1: 0.8426 [EVAL] loss: 937.6083, iou: 0.5822, f1: 0.7338
@20230814_0748 @20230814_0748 [EP 64/250] lr: 8.81033920450136e-05, took: 61.77s (avg: 61.77s), ETA: 0d:3h:9m:6s [TRAIN] loss: 280.8375, iou: 0.7331, f1: 0.8448 [EVAL] loss: 1215.5394, iou: 0.5386, f1: 0.6966
@20230814_0749 @20230814_0749 [EP 65/250] lr: 8.793991582933813e-05, took: 61.91s (avg: 61.91s), ETA: 0d:3h:8m:5s [TRAIN] loss: 286.5601, iou: 0.7365, f1: 0.8471 [EVAL] loss: 1356.1471, iou: 0.5117, f1: 0.6729
@20230814_0750 @20230814_0750 [EP 66/250] lr: 8.777704351814464e-05, took: 61.96s (avg: 61.96s), ETA: 0d:3h:7m:4s [TRAIN] loss: 289.4357, iou: 0.7405, f1: 0.8498 [EVAL] loss: 902.4230, iou: 0.6245, f1: 0.7670
@20230814_0751 @20230814_0751 [EP 67/250] lr: 8.76147678354755e-05, took: 61.84s (avg: 61.84s), ETA: 0d:3h:6m:3s [TRAIN] loss: 285.6249, iou: 0.7433, f1: 0.8517 [EVAL] loss: 1146.3503, iou: 0.5542, f1: 0.7101
@20230814_0752 @20230814_0752 [EP 68/250] lr: 8.745309605728835e-05, took: 61.88s (avg: 61.88s), ETA: 0d:3h:5m:2s [TRAIN] loss: 285.3474, iou: 0.7479, f1: 0.8547 [EVAL] loss: 1572.6564, iou: 0.4253, f1: 0.5915
@20230814_0753 @20230814_0753 [EP 69/250] lr: 8.729202090762556e-05, took: 61.99s (avg: 61.99s), ETA: 0d:3h:4m:1s [TRAIN] loss: 289.2584, iou: 0.7516, f1: 0.8572 [EVAL] loss: 1377.8464, iou: 0.5019, f1: 0.6647
@20230814_0754 @20230814_0754 [EP 70/250] lr: 8.713153511052951e-05, took: 62.01s (avg: 62.01s), ETA: 0d:3h:6m:0s [TRAIN] loss: 290.5538, iou: 0.7508, f1: 0.8567 [EVAL] loss: 63777.0195, iou: 0.0220, f1: 0.0429
@20230814_0756 @20230814_0756 [EP 71/250] lr: 8.697163866600022e-05, took: 61.98s (avg: 61.98s), ETA: 0d:3h:1m:59s [TRAIN] loss: 290.7690, iou: 0.7565, f1: 0.8604 [EVAL] loss: 1129.1403, iou: 0.5739, f1: 0.7266
@20230814_0757 @20230814_0757 [EP 72/250] lr: 8.681233157403767e-05, took: 61.85s (avg: 61.85s), ETA: 0d:3h:0m:58s [TRAIN] loss: 270.0327, iou: 0.7755, f1: 0.8728 [EVAL] loss: 744.8464, iou: 0.6466, f1: 0.7838
@20230814_0758 @20230814_0758 [EP 73/250] lr: 8.665360655868426e-05, took: 62.03s (avg: 62.03s), ETA: 0d:3h:2m:54s [TRAIN] loss: 269.8925, iou: 0.7764, f1: 0.8734 [EVAL] loss: 1484.6610, iou: 0.4769, f1: 0.6416
@20230814_0759 @20230814_0759 [EP 74/250] lr: 8.649545634398237e-05, took: 61.98s (avg: 61.98s), ETA: 0d:2h:58m:56s [TRAIN] loss: 272.2126, iou: 0.7600, f1: 0.8622 [EVAL] loss: 1254.5924, iou: 0.5328, f1: 0.6921
@20230814_0800 @20230814_0800 [EP 75/250] lr: 8.633789548184723e-05, took: 61.83s (avg: 61.83s), ETA: 0d:2h:57m:55s [TRAIN] loss: 263.9420, iou: 0.7578, f1: 0.8612 [EVAL] loss: 1442.6709, iou: 0.4807, f1: 0.6449
@20230814_0801 @20230814_0801 [EP 76/250] lr: 8.618089486844838e-05, took: 61.80s (avg: 61.80s), ETA: 0d:2h:56m:54s [TRAIN] loss: 262.9223, iou: 0.7771, f1: 0.8738 [EVAL] loss: 981.3345, iou: 0.5880, f1: 0.7383
@20230814_0802 @20230814_0802 [EP 77/250] lr: 8.602446905570105e-05, took: 61.96s (avg: 61.96s), ETA: 0d:2h:55m:53s [TRAIN] loss: 258.5303, iou: 0.7864, f1: 0.8797 [EVAL] loss: 1026.0032, iou: 0.5988, f1: 0.7471
@20230814_0803 @20230814_0803 [EP 78/250] lr: 8.586860349169001e-05, took: 61.98s (avg: 61.98s), ETA: 0d:2h:54m:52s [TRAIN] loss: 261.6449, iou: 0.7893, f1: 0.8816 [EVAL] loss: 1623.1693, iou: 0.4436, f1: 0.6101
@20230814_0804 @20230814_0804 [EP 79/250] lr: 8.571330545237288e-05, took: 61.84s (avg: 61.84s), ETA: 0d:2h:53m:51s [TRAIN] loss: 255.1124, iou: 0.7970, f1: 0.8864 [EVAL] loss: 1407.6394, iou: 0.5194, f1: 0.6793
@20230814_0805 @20230814_0805 [EP 80/250] lr: 8.555856766179204e-05, took: 61.89s (avg: 61.89s), ETA: 0d:2h:52m:50s [TRAIN] loss: 254.5483, iou: 0.8002, f1: 0.8884 [EVAL] loss: 673.3808, iou: 0.6968, f1: 0.8200
@20230814_0807 @20230814_0807 [EP 81/250] lr: 8.540439011994749e-05, took: 61.76s (avg: 61.76s), ETA: 0d:2h:51m:49s [TRAIN] loss: 249.4996, iou: 0.8062, f1: 0.8922 [EVAL] loss: 974.3610, iou: 0.6462, f1: 0.7818
@20230814_0808 @20230814_0808 [EP 82/250] lr: 8.525076555088162e-05, took: 61.95s (avg: 61.95s), ETA: 0d:2h:50m:48s [TRAIN] loss: 249.6570, iou: 0.8084, f1: 0.8935 [EVAL] loss: 636.0417, iou: 0.7417, f1: 0.8495
@20230814_0809 @20230814_0809 [EP 83/250] lr: 8.509768667863682e-05, took: 61.91s (avg: 61.91s), ETA: 0d:2h:49m:47s [TRAIN] loss: 248.6355, iou: 0.8104, f1: 0.8948 [EVAL] loss: 1043.9807, iou: 0.5908, f1: 0.7407
@20230814_0810 @20230814_0810 [EP 84/250] lr: 8.49451680551283e-05, took: 62.11s (avg: 62.11s), ETA: 0d:2h:51m:32s [TRAIN] loss: 254.0366, iou: 0.8096, f1: 0.8943 [EVAL] loss: 1034.1567, iou: 0.6233, f1: 0.7652
@20230814_0811 @20230814_0811 [EP 85/250] lr: 8.479318785248324e-05, took: 61.93s (avg: 61.93s), ETA: 0d:2h:47m:45s [TRAIN] loss: 252.4802, iou: 0.8115, f1: 0.8954 [EVAL] loss: 827.1707, iou: 0.6614, f1: 0.7945
