

** [alpha] Launch Training on 20230725_2110
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "SEGFORMER",
  "baseModel": "MITB2",
  "numGPUs": 4,
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 10,
  "lr_scheduling": "const",
  "lr": 6e-05,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230711_1637.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230711_1637.txt",
  "exp_comment": "* Updated Annotations are used\n* Updated consolidate DB used (0711_1637 version) - Updated DB \n* This consolidate DB is updated from 0703_2119 version \n* 4 GPUs are used to train models\n* SEGFORMER Model W/ MIT B0 Pretrained Wegiths\n",
  "isCompleted": false,
  "config": "Config/TRAIN_SEGFORMER_NEWDB_20230711.yaml",
  "numTrainDB": 11530,
  "numEvalDB": 3524
}
@20230725_2115 @20230725_2115 [EP 1/500] lr: 6e-05, took: 262.72s (avg: 262.72s), ETA: 1d:12h:18m:58s [TRAIN] loss: 0.8826, iou: 0.0654, f1: 0.1174 [EVAL] loss: 0.7375, iou: 0.1525, f1: 0.2625
@20230725_2138 @20230725_2138 [EP 12/500] lr: 6e-05, took: 117.99s (avg: 117.99s), ETA: 0d:15h:51m:36s [TRAIN] loss: 0.3408, iou: 0.5019, f1: 0.6592 [EVAL] loss: 0.3673, iou: 0.4727, f1: 0.6327
@20230725_2140 @20230725_2140 [EP 13/500] lr: 6e-05, took: 117.93s (avg: 117.93s), ETA: 0d:15h:49m:39s [TRAIN] loss: 0.3315, iou: 0.5126, f1: 0.6685 [EVAL] loss: 0.3610, iou: 0.4795, f1: 0.6390
@20230725_2142 @20230725_2142 [EP 14/500] lr: 6e-05, took: 118.00s (avg: 118.00s), ETA: 0d:15h:55m:48s [TRAIN] loss: 0.3238, iou: 0.5215, f1: 0.6762 [EVAL] loss: 0.3607, iou: 0.4798, f1: 0.6393
@20230725_2144 @20230725_2144 [EP 15/500] lr: 6e-05, took: 118.27s (avg: 118.27s), ETA: 0d:15h:53m:50s [TRAIN] loss: 0.3204, iou: 0.5257, f1: 0.6796 [EVAL] loss: 0.3557, iou: 0.4855, f1: 0.6443
@20230725_2146 @20230725_2146 [EP 16/500] lr: 6e-05, took: 117.90s (avg: 117.90s), ETA: 0d:15h:43m:48s [TRAIN] loss: 0.3144, iou: 0.5327, f1: 0.6856 [EVAL] loss: 0.3562, iou: 0.4849, f1: 0.6438
@20230725_2148 @20230725_2148 [EP 17/500] lr: 6e-05, took: 117.81s (avg: 117.81s), ETA: 0d:15h:41m:51s [TRAIN] loss: 0.3119, iou: 0.5357, f1: 0.6881 [EVAL] loss: 0.3551, iou: 0.4866, f1: 0.6449
@20230725_2150 @20230725_2150 [EP 18/500] lr: 6e-05, took: 117.92s (avg: 117.92s), ETA: 0d:15h:39m:54s [TRAIN] loss: 0.3096, iou: 0.5385, f1: 0.6904 [EVAL] loss: 0.3504, iou: 0.4913, f1: 0.6496
@20230725_2152 @20230725_2152 [EP 19/500] lr: 6e-05, took: 118.38s (avg: 118.38s), ETA: 0d:15h:45m:58s [TRAIN] loss: 0.3046, iou: 0.5445, f1: 0.6954 [EVAL] loss: 0.3503, iou: 0.4912, f1: 0.6497
@20230725_2154 @20230725_2154 [EP 20/500] lr: 6e-05, took: 117.99s (avg: 117.99s), ETA: 0d:15h:36m:0s [TRAIN] loss: 0.3016, iou: 0.5483, f1: 0.6984 [EVAL] loss: 0.3486, iou: 0.4933, f1: 0.6514
@20230725_2156 @20230725_2156 [EP 21/500] lr: 6e-05, took: 117.75s (avg: 117.75s), ETA: 0d:15h:34m:3s [TRAIN] loss: 0.3010, iou: 0.5490, f1: 0.6990 [EVAL] loss: 0.3409, iou: 0.5026, f1: 0.6591
@20230725_2158 @20230725_2158 [EP 22/500] lr: 6e-05, took: 119.25s (avg: 119.25s), ETA: 0d:15h:48m:2s [TRAIN] loss: 0.2999, iou: 0.5503, f1: 0.7001 [EVAL] loss: 0.3374, iou: 0.5066, f1: 0.6626
@20230725_2200 @20230725_2200 [EP 23/500] lr: 6e-05, took: 118.59s (avg: 118.59s), ETA: 0d:15h:38m:6s [TRAIN] loss: 0.2943, iou: 0.5573, f1: 0.7057 [EVAL] loss: 0.3377, iou: 0.5062, f1: 0.6623
@20230725_2202 @20230725_2202 [EP 24/500] lr: 6e-05, took: 118.24s (avg: 118.24s), ETA: 0d:15h:36m:8s [TRAIN] loss: 0.2947, iou: 0.5571, f1: 0.7053 [EVAL] loss: 0.3332, iou: 0.5115, f1: 0.6668
@20230725_2204 @20230725_2204 [EP 25/500] lr: 6e-05, took: 118.18s (avg: 118.18s), ETA: 0d:15h:34m:10s [TRAIN] loss: 0.2913, iou: 0.5610, f1: 0.7087 [EVAL] loss: 0.3328, iou: 0.5123, f1: 0.6672
@20230725_2206 @20230725_2206 [EP 26/500] lr: 6e-05, took: 118.09s (avg: 118.09s), ETA: 0d:15h:32m:12s [TRAIN] loss: 0.2878, iou: 0.5653, f1: 0.7122 [EVAL] loss: 0.3307, iou: 0.5151, f1: 0.6693
@20230725_2208 @20230725_2208 [EP 27/500] lr: 6e-05, took: 118.05s (avg: 118.05s), ETA: 0d:15h:30m:14s [TRAIN] loss: 0.2850, iou: 0.5688, f1: 0.7150 [EVAL] loss: 0.3324, iou: 0.5127, f1: 0.6676
@20230725_2210 @20230725_2210 [EP 28/500] lr: 6e-05, took: 117.94s (avg: 117.94s), ETA: 0d:15h:20m:24s [TRAIN] loss: 0.2845, iou: 0.5694, f1: 0.7155 [EVAL] loss: 0.3293, iou: 0.5169, f1: 0.6707
@20230725_2212 @20230725_2212 [EP 29/500] lr: 6e-05, took: 117.87s (avg: 117.87s), ETA: 0d:15h:18m:27s [TRAIN] loss: 0.2816, iou: 0.5730, f1: 0.7184 [EVAL] loss: 0.3279, iou: 0.5184, f1: 0.6721
@20230725_2214 @20230725_2214 [EP 30/500] lr: 6e-05, took: 118.04s (avg: 118.04s), ETA: 0d:15h:24m:20s [TRAIN] loss: 0.2804, iou: 0.5745, f1: 0.7196 [EVAL] loss: 0.3243, iou: 0.5224, f1: 0.6757
@20230725_2216 @20230725_2216 [EP 31/500] lr: 6e-05, took: 117.74s (avg: 117.74s), ETA: 0d:15h:14m:33s [TRAIN] loss: 0.2776, iou: 0.5781, f1: 0.7224 [EVAL] loss: 0.3235, iou: 0.5234, f1: 0.6765
@20230725_2218 @20230725_2218 [EP 32/500] lr: 6e-05, took: 117.86s (avg: 117.86s), ETA: 0d:15h:12m:36s [TRAIN] loss: 0.2759, iou: 0.5802, f1: 0.7241 [EVAL] loss: 0.3244, iou: 0.5219, f1: 0.6756
@20230725_2220 @20230725_2220 [EP 33/500] lr: 6e-05, took: 118.22s (avg: 118.22s), ETA: 0d:15h:18m:26s [TRAIN] loss: 0.2756, iou: 0.5807, f1: 0.7244 [EVAL] loss: 0.3227, iou: 0.5242, f1: 0.6773
@20230725_2222 @20230725_2222 [EP 34/500] lr: 6e-05, took: 118.10s (avg: 118.10s), ETA: 0d:15h:16m:28s [TRAIN] loss: 0.2745, iou: 0.5819, f1: 0.7255 [EVAL] loss: 0.3216, iou: 0.5256, f1: 0.6784
@20230725_2224 @20230725_2224 [EP 35/500] lr: 6e-05, took: 117.94s (avg: 117.94s), ETA: 0d:15h:6m:45s [TRAIN] loss: 0.2745, iou: 0.5821, f1: 0.7255 [EVAL] loss: 0.3222, iou: 0.5247, f1: 0.6778
@20230725_2226 @20230725_2226 [EP 36/500] lr: 6e-05, took: 118.11s (avg: 118.11s), ETA: 0d:15h:12m:32s [TRAIN] loss: 0.2733, iou: 0.5836, f1: 0.7267 [EVAL] loss: 0.3214, iou: 0.5253, f1: 0.6786
@20230725_2228 @20230725_2228 [EP 37/500] lr: 6e-05, took: 118.11s (avg: 118.11s), ETA: 0d:15h:10m:34s [TRAIN] loss: 0.2723, iou: 0.5847, f1: 0.7277 [EVAL] loss: 0.3207, iou: 0.5263, f1: 0.6793
@20230725_2230 @20230725_2230 [EP 38/500] lr: 6e-05, took: 118.04s (avg: 118.04s), ETA: 0d:15h:8m:36s [TRAIN] loss: 0.2709, iou: 0.5866, f1: 0.7291 [EVAL] loss: 0.3190, iou: 0.5283, f1: 0.6810
@20230725_2232 @20230725_2231 [EP 39/500] lr: 6e-05, took: 117.79s (avg: 117.79s), ETA: 0d:14h:58m:57s [TRAIN] loss: 0.2692, iou: 0.5887, f1: 0.7308 [EVAL] loss: 0.3182, iou: 0.5295, f1: 0.6818
@20230725_2233 @20230725_2233 [EP 40/500] lr: 6e-05, took: 117.88s (avg: 117.88s), ETA: 0d:14h:57m:0s [TRAIN] loss: 0.2669, iou: 0.5918, f1: 0.7331 [EVAL] loss: 0.3164, iou: 0.5318, f1: 0.6836
@20230725_2235 @20230725_2235 [EP 41/500] lr: 6e-05, took: 118.14s (avg: 118.14s), ETA: 0d:15h:2m:42s [TRAIN] loss: 0.2659, iou: 0.5930, f1: 0.7341 [EVAL] loss: 0.3170, iou: 0.5310, f1: 0.6830
@20230725_2237 @20230725_2237 [EP 42/500] lr: 6e-05, took: 118.05s (avg: 118.05s), ETA: 0d:15h:0m:44s [TRAIN] loss: 0.2645, iou: 0.5949, f1: 0.7355 [EVAL] loss: 0.3156, iou: 0.5329, f1: 0.6844
@20230725_2239 @20230725_2239 [EP 43/500] lr: 6e-05, took: 118.14s (avg: 118.14s), ETA: 0d:14h:58m:46s [TRAIN] loss: 0.2637, iou: 0.5960, f1: 0.7363 [EVAL] loss: 0.3112, iou: 0.5377, f1: 0.6888
@20230725_2241 @20230725_2241 [EP 44/500] lr: 6e-05, took: 117.96s (avg: 117.96s), ETA: 0d:14h:49m:12s [TRAIN] loss: 0.2556, iou: 0.6058, f1: 0.7444 [EVAL] loss: 0.2974, iou: 0.5536, f1: 0.7026
@20230725_2243 @20230725_2243 [EP 45/500] lr: 6e-05, took: 117.96s (avg: 117.96s), ETA: 0d:14h:47m:15s [TRAIN] loss: 0.2533, iou: 0.6086, f1: 0.7467 [EVAL] loss: 0.2982, iou: 0.5528, f1: 0.7018
@20230725_2245 @20230725_2245 [EP 46/500] lr: 6e-05, took: 118.14s (avg: 118.14s), ETA: 0d:14h:52m:52s [TRAIN] loss: 0.2528, iou: 0.6092, f1: 0.7472 [EVAL] loss: 0.2996, iou: 0.5507, f1: 0.7004
@20230725_2247 @20230725_2247 [EP 47/500] lr: 6e-05, took: 118.03s (avg: 118.03s), ETA: 0d:14h:50m:54s [TRAIN] loss: 0.2504, iou: 0.6124, f1: 0.7496 [EVAL] loss: 0.2999, iou: 0.5499, f1: 0.7001
@20230725_2249 @20230725_2249 [EP 48/500] lr: 6e-05, took: 118.12s (avg: 118.12s), ETA: 0d:14h:48m:56s [TRAIN] loss: 0.2443, iou: 0.6198, f1: 0.7557 [EVAL] loss: 0.2832, iou: 0.5686, f1: 0.7168
@20230725_2251 @20230725_2251 [EP 49/500] lr: 6e-05, took: 118.04s (avg: 118.04s), ETA: 0d:14h:46m:58s [TRAIN] loss: 0.2382, iou: 0.6271, f1: 0.7618 [EVAL] loss: 0.2874, iou: 0.5631, f1: 0.7126
@20230725_2253 @20230725_2253 [EP 50/500] lr: 6e-05, took: 117.85s (avg: 117.85s), ETA: 0d:14h:37m:30s [TRAIN] loss: 0.2365, iou: 0.6294, f1: 0.7635 [EVAL] loss: 0.2805, iou: 0.5718, f1: 0.7195
@20230725_2255 @20230725_2255 [EP 51/500] lr: 6e-05, took: 117.78s (avg: 117.78s), ETA: 0d:14h:35m:33s [TRAIN] loss: 0.2348, iou: 0.6316, f1: 0.7652 [EVAL] loss: 0.2807, iou: 0.5715, f1: 0.7193
@20230725_2257 @20230725_2257 [EP 52/500] lr: 6e-05, took: 117.88s (avg: 117.88s), ETA: 0d:14h:33m:36s [TRAIN] loss: 0.2355, iou: 0.6307, f1: 0.7645 [EVAL] loss: 0.2811, iou: 0.5712, f1: 0.7189
@20230725_2259 @20230725_2259 [EP 53/500] lr: 6e-05, took: 117.86s (avg: 117.86s), ETA: 0d:14h:31m:39s [TRAIN] loss: 0.2359, iou: 0.6301, f1: 0.7641 [EVAL] loss: 0.2770, iou: 0.5764, f1: 0.7230
@20230725_2301 @20230725_2301 [EP 54/500] lr: 6e-05, took: 118.06s (avg: 118.06s), ETA: 0d:14h:37m:8s [TRAIN] loss: 0.2345, iou: 0.6321, f1: 0.7655 [EVAL] loss: 0.2755, iou: 0.5783, f1: 0.7245
@20230725_2303 @20230725_2303 [EP 55/500] lr: 6e-05, took: 118.10s (avg: 118.10s), ETA: 0d:14h:35m:10s [TRAIN] loss: 0.2345, iou: 0.6323, f1: 0.7655 [EVAL] loss: 0.2770, iou: 0.5771, f1: 0.7230
@20230725_2305 @20230725_2305 [EP 56/500] lr: 6e-05, took: 118.12s (avg: 118.12s), ETA: 0d:14h:33m:12s [TRAIN] loss: 0.2348, iou: 0.6320, f1: 0.7652 [EVAL] loss: 0.2764, iou: 0.5779, f1: 0.7236
@20230725_2307 @20230725_2307 [EP 57/500] lr: 6e-05, took: 118.20s (avg: 118.20s), ETA: 0d:14h:31m:14s [TRAIN] loss: 0.2323, iou: 0.6353, f1: 0.7677 [EVAL] loss: 0.2769, iou: 0.5774, f1: 0.7231
@20230725_2309 @20230725_2309 [EP 58/500] lr: 6e-05, took: 118.07s (avg: 118.07s), ETA: 0d:14h:29m:16s [TRAIN] loss: 0.2299, iou: 0.6385, f1: 0.7701 [EVAL] loss: 0.2739, iou: 0.5808, f1: 0.7261
@20230725_2311 @20230725_2311 [EP 59/500] lr: 6e-05, took: 118.09s (avg: 118.09s), ETA: 0d:14h:27m:18s [TRAIN] loss: 0.2281, iou: 0.6408, f1: 0.7719 [EVAL] loss: 0.2741, iou: 0.5807, f1: 0.7259
@20230725_2313 @20230725_2313 [EP 60/500] lr: 6e-05, took: 118.08s (avg: 118.08s), ETA: 0d:14h:25m:20s [TRAIN] loss: 0.2283, iou: 0.6407, f1: 0.7717 [EVAL] loss: 0.2733, iou: 0.5818, f1: 0.7267
@20230725_2315 @20230725_2315 [EP 61/500] lr: 6e-05, took: 118.17s (avg: 118.17s), ETA: 0d:14h:23m:22s [TRAIN] loss: 0.2287, iou: 0.6402, f1: 0.7713 [EVAL] loss: 0.2769, iou: 0.5775, f1: 0.7231
@20230725_2317 @20230725_2317 [EP 62/500] lr: 6e-05, took: 117.84s (avg: 117.84s), ETA: 0d:14h:14m:6s [TRAIN] loss: 0.2280, iou: 0.6411, f1: 0.7720 [EVAL] loss: 0.2720, iou: 0.5834, f1: 0.7280
@20230725_2319 @20230725_2319 [EP 63/500] lr: 6e-05, took: 117.64s (avg: 117.64s), ETA: 0d:14h:12m:9s [TRAIN] loss: 0.2276, iou: 0.6415, f1: 0.7724 [EVAL] loss: 0.2730, iou: 0.5822, f1: 0.7270
@20230725_2321 @20230725_2321 [EP 64/500] lr: 6e-05, took: 117.87s (avg: 117.87s), ETA: 0d:14h:10m:12s [TRAIN] loss: 0.2272, iou: 0.6421, f1: 0.7728 [EVAL] loss: 0.2704, iou: 0.5853, f1: 0.7296
@20230725_2323 @20230725_2323 [EP 65/500] lr: 6e-05, took: 118.32s (avg: 118.32s), ETA: 0d:14h:15m:30s [TRAIN] loss: 0.2264, iou: 0.6432, f1: 0.7736 [EVAL] loss: 0.2700, iou: 0.5859, f1: 0.7300
@20230725_2325 @20230725_2325 [EP 66/500] lr: 6e-05, took: 117.92s (avg: 117.92s), ETA: 0d:14h:6m:18s [TRAIN] loss: 0.2253, iou: 0.6449, f1: 0.7747 [EVAL] loss: 0.2709, iou: 0.5844, f1: 0.7291
@20230725_2327 @20230725_2327 [EP 67/500] lr: 6e-05, took: 117.99s (avg: 117.99s), ETA: 0d:14h:4m:21s [TRAIN] loss: 0.2245, iou: 0.6460, f1: 0.7755 [EVAL] loss: 0.2696, iou: 0.5860, f1: 0.7304
@20230725_2329 @20230725_2329 [EP 68/500] lr: 6e-05, took: 117.92s (avg: 117.92s), ETA: 0d:14h:2m:24s [TRAIN] loss: 0.2240, iou: 0.6466, f1: 0.7760 [EVAL] loss: 0.2673, iou: 0.5893, f1: 0.7327
@20230725_2331 @20230725_2331 [EP 69/500] lr: 6e-05, took: 118.03s (avg: 118.03s), ETA: 0d:14h:7m:38s [TRAIN] loss: 0.2230, iou: 0.6479, f1: 0.7770 [EVAL] loss: 0.2686, iou: 0.5876, f1: 0.7314
@20230725_2333 @20230725_2333 [EP 70/500] lr: 6e-05, took: 118.09s (avg: 118.09s), ETA: 0d:14h:5m:40s [TRAIN] loss: 0.2220, iou: 0.6494, f1: 0.7780 [EVAL] loss: 0.2675, iou: 0.5889, f1: 0.7325
@20230725_2335 @20230725_2335 [EP 71/500] lr: 6e-05, took: 117.76s (avg: 117.76s), ETA: 0d:13h:56m:33s [TRAIN] loss: 0.2241, iou: 0.6462, f1: 0.7759 [EVAL] loss: 0.2679, iou: 0.5887, f1: 0.7321
@20230725_2337 @20230725_2337 [EP 72/500] lr: 6e-05, took: 117.89s (avg: 117.89s), ETA: 0d:13h:54m:36s [TRAIN] loss: 0.2212, iou: 0.6504, f1: 0.7788 [EVAL] loss: 0.2681, iou: 0.5884, f1: 0.7319
@20230725_2339 @20230725_2339 [EP 73/500] lr: 6e-05, took: 117.58s (avg: 117.58s), ETA: 0d:13h:52m:39s [TRAIN] loss: 0.2208, iou: 0.6509, f1: 0.7792 [EVAL] loss: 0.2670, iou: 0.5898, f1: 0.7330
@20230725_2341 @20230725_2341 [EP 74/500] lr: 6e-05, took: 117.80s (avg: 117.80s), ETA: 0d:13h:50m:42s [TRAIN] loss: 0.2209, iou: 0.6508, f1: 0.7791 [EVAL] loss: 0.2678, iou: 0.5890, f1: 0.7322
@20230725_2343 @20230725_2343 [EP 75/500] lr: 6e-05, took: 117.80s (avg: 117.80s), ETA: 0d:13h:48m:45s [TRAIN] loss: 0.2218, iou: 0.6495, f1: 0.7782 [EVAL] loss: 0.2718, iou: 0.5841, f1: 0.7282
@20230725_2345 @20230725_2345 [EP 76/500] lr: 6e-05, took: 118.11s (avg: 118.11s), ETA: 0d:13h:53m:52s [TRAIN] loss: 0.2219, iou: 0.6495, f1: 0.7781 [EVAL] loss: 0.2695, iou: 0.5869, f1: 0.7305
@20230725_2347 @20230725_2347 [EP 77/500] lr: 6e-05, took: 118.02s (avg: 118.02s), ETA: 0d:13h:51m:54s [TRAIN] loss: 0.2212, iou: 0.6505, f1: 0.7788 [EVAL] loss: 0.2702, iou: 0.5859, f1: 0.7298
@20230725_2349 @20230725_2349 [EP 78/500] lr: 6e-05, took: 118.12s (avg: 118.12s), ETA: 0d:13h:49m:56s [TRAIN] loss: 0.2173, iou: 0.6551, f1: 0.7827 [EVAL] loss: 0.2620, iou: 0.5953, f1: 0.7380
@20230725_2351 @20230725_2351 [EP 79/500] lr: 6e-05, took: 118.09s (avg: 118.09s), ETA: 0d:13h:47m:58s [TRAIN] loss: 0.2121, iou: 0.6615, f1: 0.7879 [EVAL] loss: 0.2606, iou: 0.5969, f1: 0.7394
@20230725_2353 @20230725_2353 [EP 80/500] lr: 6e-05, took: 117.92s (avg: 117.92s), ETA: 0d:13h:39m:0s [TRAIN] loss: 0.2102, iou: 0.6640, f1: 0.7898 [EVAL] loss: 0.2591, iou: 0.5988, f1: 0.7409
@20230725_2355 @20230725_2355 [EP 81/500] lr: 6e-05, took: 117.98s (avg: 117.98s), ETA: 0d:13h:37m:3s [TRAIN] loss: 0.2104, iou: 0.6636, f1: 0.7896 [EVAL] loss: 0.2593, iou: 0.5983, f1: 0.7407
@20230725_2357 @20230725_2357 [EP 82/500] lr: 6e-05, took: 118.04s (avg: 118.04s), ETA: 0d:13h:42m:4s [TRAIN] loss: 0.2104, iou: 0.6638, f1: 0.7896 [EVAL] loss: 0.2595, iou: 0.5978, f1: 0.7405
@20230725_2359 @20230725_2359 [EP 83/500] lr: 6e-05, took: 118.23s (avg: 118.23s), ETA: 0d:13h:40m:6s [TRAIN] loss: 0.2106, iou: 0.6635, f1: 0.7894 [EVAL] loss: 0.2582, iou: 0.5995, f1: 0.7418
@20230726_0001 @20230726_0001 [EP 84/500] lr: 6e-05, took: 118.11s (avg: 118.11s), ETA: 0d:13h:38m:8s [TRAIN] loss: 0.2100, iou: 0.6645, f1: 0.7900 [EVAL] loss: 0.2564, iou: 0.6019, f1: 0.7436
@20230726_0003 @20230726_0003 [EP 85/500] lr: 6e-05, took: 117.87s (avg: 117.87s), ETA: 0d:13h:29m:15s [TRAIN] loss: 0.2088, iou: 0.6660, f1: 0.7912 [EVAL] loss: 0.2549, iou: 0.6039, f1: 0.7451
@20230726_0005 @20230726_0005 [EP 86/500] lr: 6e-05, took: 117.87s (avg: 117.87s), ETA: 0d:13h:27m:18s [TRAIN] loss: 0.2093, iou: 0.6653, f1: 0.7907 [EVAL] loss: 0.2566, iou: 0.6016, f1: 0.7434
@20230726_0007 @20230726_0007 [EP 87/500] lr: 6e-05, took: 118.05s (avg: 118.05s), ETA: 0d:13h:32m:14s [TRAIN] loss: 0.2094, iou: 0.6651, f1: 0.7906 [EVAL] loss: 0.2562, iou: 0.6022, f1: 0.7438
@20230726_0009 @20230726_0009 [EP 88/500] lr: 6e-05, took: 118.12s (avg: 118.12s), ETA: 0d:13h:30m:16s [TRAIN] loss: 0.2095, iou: 0.6651, f1: 0.7905 [EVAL] loss: 0.2543, iou: 0.6047, f1: 0.7457
@20230726_0011 @20230726_0011 [EP 89/500] lr: 6e-05, took: 118.07s (avg: 118.07s), ETA: 0d:13h:28m:18s [TRAIN] loss: 0.2093, iou: 0.6652, f1: 0.7907 [EVAL] loss: 0.2534, iou: 0.6061, f1: 0.7466
@20230726_0013 @20230726_0013 [EP 90/500] lr: 6e-05, took: 117.90s (avg: 117.90s), ETA: 0d:13h:19m:30s [TRAIN] loss: 0.2079, iou: 0.6673, f1: 0.7921 [EVAL] loss: 0.2542, iou: 0.6050, f1: 0.7458
@20230726_0015 @20230726_0015 [EP 91/500] lr: 6e-05, took: 118.22s (avg: 118.22s), ETA: 0d:13h:24m:22s [TRAIN] loss: 0.2062, iou: 0.6697, f1: 0.7938 [EVAL] loss: 0.2543, iou: 0.6050, f1: 0.7457
@20230726_0017 @20230726_0017 [EP 92/500] lr: 6e-05, took: 118.14s (avg: 118.14s), ETA: 0d:13h:22m:24s [TRAIN] loss: 0.2041, iou: 0.6726, f1: 0.7959 [EVAL] loss: 0.2534, iou: 0.6060, f1: 0.7466
@20230726_0019 @20230726_0019 [EP 93/500] lr: 6e-05, took: 118.15s (avg: 118.15s), ETA: 0d:13h:20m:26s [TRAIN] loss: 0.2025, iou: 0.6748, f1: 0.7975 [EVAL] loss: 0.2518, iou: 0.6078, f1: 0.7482
@20230726_0021 @20230726_0021 [EP 94/500] lr: 6e-05, took: 118.20s (avg: 118.20s), ETA: 0d:13h:18m:28s [TRAIN] loss: 0.2028, iou: 0.6744, f1: 0.7972 [EVAL] loss: 0.2506, iou: 0.6094, f1: 0.7494
@20230726_0023 @20230726_0023 [EP 95/500] lr: 6e-05, took: 118.25s (avg: 118.25s), ETA: 0d:13h:16m:30s [TRAIN] loss: 0.2015, iou: 0.6763, f1: 0.7985 [EVAL] loss: 0.2510, iou: 0.6091, f1: 0.7490
