

** [elctron] Launch Training on 20230610_1725
{
  "HOST": "elctron",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "EffNet",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": true,
  "prevEPOCH": 216,
  "resumeWeight": "./model_weights/EffNet/20230607_2015_DLV3PP_EffNet_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 10,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 8,
  "lr_scheduling": "exp",
  "lr": 0.006253,
  "decay_steps": 2.3,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* EffNet Base \n  - weight saved on eval f1 \n  - resume from EP216\n  - lr changed the value at EP216: 0.006253\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230610_1742 [EP 217/500] took: 0h:16m:46s, ETA: 3d:7h:4m:58s [TRAIN] loss: 0.0569, accu-50: 94.42%, iou: 89.26%, f1: 94.31% 443.08ms [EVAL] [518/518 step] loss: 0.9806, accu-50: 0.99%, iou: 0.98%, f1: 1.94%, 78.34ms
@20230610_2146 [EP 232/500] took: 0h:16m:16s, ETA: 3d:0h:39m:28s [TRAIN] loss: 0.0564, accu-50: 94.29%, iou: 89.35%, f1: 94.36% 437.10ms [EVAL] [518/518 step] loss: 0.9363, accu-50: 3.08%, iou: 3.35%, f1: 6.37%, 76.33ms
@20230610_2203 [EP 233/500] took: 0h:16m:17s, ETA: 3d:0h:27m:39s [TRAIN] loss: 0.0565, accu-50: 94.39%, iou: 89.33%, f1: 94.35% 436.79ms [EVAL] [518/518 step] loss: 0.0997, accu-50: 84.37%, iou: 82.31%, f1: 90.03%, 76.76ms
@20230610_2219 [EP 234/500] took: 0h:16m:16s, ETA: 3d:0h:6m:56s [TRAIN] loss: 0.0565, accu-50: 94.35%, iou: 89.34%, f1: 94.35% 437.77ms [EVAL] [518/518 step] loss: 0.9301, accu-50: 6.12%, iou: 4.02%, f1: 6.99%, 76.42ms
@20230610_2235 [EP 235/500] took: 0h:16m:16s, ETA: 2d:23h:50m:40s [TRAIN] loss: 0.0564, accu-50: 94.26%, iou: 89.35%, f1: 94.36% 438.66ms [EVAL] [518/518 step] loss: 0.9657, accu-50: 5.43%, iou: 1.91%, f1: 3.43%, 76.48ms
@20230610_2251 [EP 236/500] took: 0h:16m:15s, ETA: 2d:23h:30m:0s [TRAIN] loss: 0.0563, accu-50: 94.34%, iou: 89.36%, f1: 94.37% 437.24ms [EVAL] [518/518 step] loss: 0.7577, accu-50: 17.84%, iou: 14.23%, f1: 24.23%, 76.69ms
@20230610_2307 [EP 237/500] took: 0h:16m:15s, ETA: 2d:23h:13m:45s [TRAIN] loss: 0.0561, accu-50: 94.39%, iou: 89.40%, f1: 94.39% 437.62ms [EVAL] [518/518 step] loss: 0.2746, accu-50: 85.61%, iou: 57.82%, f1: 72.54%, 76.57ms
@20230610_2323 [EP 238/500] took: 0h:16m:15s, ETA: 2d:22h:57m:30s [TRAIN] loss: 0.0563, accu-50: 94.40%, iou: 89.37%, f1: 94.37% 437.03ms [EVAL] [518/518 step] loss: 0.8127, accu-50: 35.94%, iou: 11.44%, f1: 18.73%, 76.50ms
@20230610_2339 [EP 239/500] took: 0h:16m:14s, ETA: 2d:22h:36m:54s [TRAIN] loss: 0.0561, accu-50: 94.34%, iou: 89.40%, f1: 94.39% 438.56ms [EVAL] [518/518 step] loss: 0.4834, accu-50: 90.65%, iou: 36.14%, f1: 51.66%, 76.60ms
@20230610_2356 [EP 240/500] took: 0h:16m:14s, ETA: 2d:22h:20m:40s [TRAIN] loss: 0.0565, accu-50: 94.39%, iou: 89.34%, f1: 94.35% 438.00ms [EVAL] [518/518 step] loss: 0.3354, accu-50: 46.49%, iou: 51.78%, f1: 66.46%, 76.32ms
@20230611_0012 [EP 241/500] took: 0h:16m:14s, ETA: 2d:22h:4m:26s [TRAIN] loss: 0.0561, accu-50: 94.30%, iou: 89.40%, f1: 94.39% 438.21ms [EVAL] [518/518 step] loss: 0.8368, accu-50: 9.57%, iou: 9.18%, f1: 16.32%, 76.25ms
@20230611_0028 [EP 242/500] took: 0h:16m:14s, ETA: 2d:21h:48m:12s [TRAIN] loss: 0.0561, accu-50: 94.38%, iou: 89.41%, f1: 94.39% 438.27ms [EVAL] [518/518 step] loss: 0.1048, accu-50: 90.80%, iou: 81.38%, f1: 89.52%, 76.41ms
@20230611_0044 [EP 243/500] took: 0h:16m:14s, ETA: 2d:21h:31m:58s [TRAIN] loss: 0.0562, accu-50: 94.37%, iou: 89.39%, f1: 94.38% 437.76ms [EVAL] [518/518 step] loss: 0.9094, accu-50: 16.30%, iou: 5.39%, f1: 9.06%, 76.39ms
@20230611_0100 [EP 244/500] took: 0h:16m:13s, ETA: 2d:21h:11m:28s [TRAIN] loss: 0.0560, accu-50: 94.35%, iou: 89.42%, f1: 94.40% 437.42ms [EVAL] [518/518 step] loss: 0.9748, accu-50: 1.76%, iou: 1.31%, f1: 2.52%, 76.44ms
@20230611_0116 [EP 245/500] took: 0h:16m:13s, ETA: 2d:20h:55m:15s [TRAIN] loss: 0.0563, accu-50: 94.31%, iou: 89.38%, f1: 94.37% 438.01ms [EVAL] [518/518 step] loss: 0.3749, accu-50: 74.86%, iou: 46.43%, f1: 62.51%, 76.58ms
@20230611_0133 [EP 246/500] took: 0h:16m:13s, ETA: 2d:20h:39m:2s [TRAIN] loss: 0.0560, accu-50: 94.45%, iou: 89.43%, f1: 94.40% 438.33ms [EVAL] [518/518 step] loss: 0.9042, accu-50: 4.15%, iou: 5.34%, f1: 9.58%, 76.28ms
@20230611_0149 [EP 247/500] took: 0h:16m:13s, ETA: 2d:20h:22m:49s [TRAIN] loss: 0.0561, accu-50: 94.38%, iou: 89.40%, f1: 94.39% 437.39ms [EVAL] [518/518 step] loss: 0.5880, accu-50: 59.71%, iou: 26.96%, f1: 41.20%, 76.36ms
@20230611_0205 [EP 248/500] took: 0h:16m:13s, ETA: 2d:20h:6m:36s [TRAIN] loss: 0.0559, accu-50: 94.32%, iou: 89.44%, f1: 94.41% 437.78ms [EVAL] [518/518 step] loss: 0.9457, accu-50: 2.69%, iou: 2.82%, f1: 5.43%, 76.55ms
@20230611_0221 [EP 249/500] took: 0h:16m:12s, ETA: 2d:19h:46m:12s [TRAIN] loss: 0.0559, accu-50: 94.37%, iou: 89.45%, f1: 94.41% 437.63ms [EVAL] [518/518 step] loss: 0.7955, accu-50: 63.97%, iou: 12.63%, f1: 20.45%, 76.49ms
@20230611_0237 [EP 250/500] took: 0h:16m:12s, ETA: 2d:19h:30m:0s [TRAIN] loss: 0.0559, accu-50: 94.45%, iou: 89.45%, f1: 94.41% 437.68ms [EVAL] [518/518 step] loss: 0.5082, accu-50: 31.85%, iou: 34.24%, f1: 49.18%, 76.61ms
@20230611_0253 [EP 251/500] took: 0h:16m:12s, ETA: 2d:19h:13m:48s [TRAIN] loss: 0.0557, accu-50: 94.49%, iou: 89.47%, f1: 94.43% 437.87ms [EVAL] [518/518 step] loss: 0.9376, accu-50: 3.68%, iou: 3.45%, f1: 6.24%, 76.26ms
@20230611_0310 [EP 252/500] took: 0h:16m:12s, ETA: 2d:18h:57m:36s [TRAIN] loss: 0.0559, accu-50: 94.48%, iou: 89.45%, f1: 94.41% 438.15ms [EVAL] [518/518 step] loss: 0.8925, accu-50: 44.46%, iou: 6.15%, f1: 10.75%, 76.61ms
@20230611_0326 [EP 253/500] took: 0h:16m:12s, ETA: 2d:18h:41m:24s [TRAIN] loss: 0.0557, accu-50: 94.51%, iou: 89.48%, f1: 94.43% 438.15ms [EVAL] [518/518 step] loss: 0.7778, accu-50: 80.52%, iou: 13.31%, f1: 22.22%, 76.31ms
@20230611_0342 [EP 254/500] took: 0h:16m:12s, ETA: 2d:18h:25m:12s [TRAIN] loss: 0.0558, accu-50: 94.37%, iou: 89.45%, f1: 94.42% 439.38ms [EVAL] [518/518 step] loss: 0.7924, accu-50: 19.81%, iou: 11.93%, f1: 20.76%, 76.78ms
@20230611_0358 [EP 255/500] took: 0h:16m:12s, ETA: 2d:18h:9m:0s [TRAIN] loss: 0.0559, accu-50: 94.42%, iou: 89.45%, f1: 94.41% 437.62ms [EVAL] [518/518 step] loss: 0.3853, accu-50: 57.79%, iou: 45.19%, f1: 61.47%, 76.29ms
@20230611_0414 [EP 256/500] took: 0h:16m:12s, ETA: 2d:17h:52m:48s [TRAIN] loss: 0.0558, accu-50: 94.32%, iou: 89.47%, f1: 94.42% 438.23ms [EVAL] [518/518 step] loss: 0.9945, accu-50: 42.00%, iou: 0.32%, f1: 0.55%, 76.25ms
@20230611_0430 [EP 257/500] took: 0h:16m:12s, ETA: 2d:17h:36m:36s [TRAIN] loss: 0.0559, accu-50: 94.41%, iou: 89.45%, f1: 94.41% 436.97ms [EVAL] [518/518 step] loss: 0.9662, accu-50: 1.58%, iou: 1.73%, f1: 3.38%, 76.37ms
@20230611_0446 [EP 258/500] took: 0h:16m:12s, ETA: 2d:17h:20m:24s [TRAIN] loss: 0.0557, accu-50: 94.40%, iou: 89.47%, f1: 94.43% 437.20ms [EVAL] [518/518 step] loss: 0.3109, accu-50: 85.31%, iou: 53.31%, f1: 68.91%, 76.44ms
@20230611_0503 [EP 259/500] took: 0h:16m:11s, ETA: 2d:17h:0m:11s [TRAIN] loss: 0.0555, accu-50: 94.48%, iou: 89.51%, f1: 94.45% 438.23ms [EVAL] [518/518 step] loss: 0.9771, accu-50: 1.48%, iou: 1.18%, f1: 2.29%, 76.31ms
@20230611_0519 [EP 260/500] took: 0h:16m:11s, ETA: 2d:16h:44m:0s [TRAIN] loss: 0.0557, accu-50: 94.39%, iou: 89.47%, f1: 94.43% 438.10ms [EVAL] [518/518 step] loss: 0.8081, accu-50: 53.47%, iou: 11.65%, f1: 19.19%, 76.28ms
@20230611_0535 [EP 261/500] took: 0h:16m:11s, ETA: 2d:16h:27m:49s [TRAIN] loss: 0.0556, accu-50: 94.35%, iou: 89.49%, f1: 94.44% 438.72ms [EVAL] [518/518 step] loss: 0.9927, accu-50: 0.35%, iou: 0.37%, f1: 0.73%, 76.39ms
@20230611_0551 [EP 262/500] took: 0h:16m:11s, ETA: 2d:16h:11m:38s [TRAIN] loss: 0.0557, accu-50: 94.41%, iou: 89.49%, f1: 94.43% 438.82ms [EVAL] [518/518 step] loss: 0.9141, accu-50: 12.09%, iou: 4.96%, f1: 8.59%, 76.43ms
@20230611_0607 [EP 263/500] took: 0h:16m:11s, ETA: 2d:15h:55m:27s [TRAIN] loss: 0.0557, accu-50: 94.50%, iou: 89.48%, f1: 94.43% 438.93ms [EVAL] [518/518 step] loss: 0.9651, accu-50: 1.73%, iou: 1.79%, f1: 3.49%, 76.24ms
@20230611_0624 [EP 264/500] took: 0h:16m:11s, ETA: 2d:15h:39m:16s [TRAIN] loss: 0.0558, accu-50: 94.43%, iou: 89.46%, f1: 94.42% 439.07ms [EVAL] [518/518 step] loss: 0.5741, accu-50: 75.88%, iou: 28.72%, f1: 42.59%, 76.46ms
@20230611_0640 [EP 265/500] took: 0h:16m:11s, ETA: 2d:15h:23m:5s [TRAIN] loss: 0.0556, accu-50: 94.43%, iou: 89.49%, f1: 94.44% 438.16ms [EVAL] [518/518 step] loss: 0.8864, accu-50: 28.92%, iou: 6.53%, f1: 11.36%, 76.50ms
@20230611_0656 [EP 266/500] took: 0h:16m:11s, ETA: 2d:15h:6m:54s [TRAIN] loss: 0.0558, accu-50: 94.46%, iou: 89.45%, f1: 94.42% 439.27ms [EVAL] [518/518 step] loss: 0.6563, accu-50: 80.08%, iou: 22.37%, f1: 34.37%, 76.31ms
@20230611_0712 [EP 267/500] took: 0h:16m:11s, ETA: 2d:14h:50m:43s [TRAIN] loss: 0.0557, accu-50: 94.51%, iou: 89.49%, f1: 94.43% 438.45ms [EVAL] [518/518 step] loss: 0.9858, accu-50: 0.69%, iou: 0.72%, f1: 1.43%, 76.79ms
@20230611_0728 [EP 268/500] took: 0h:16m:11s, ETA: 2d:14h:34m:32s [TRAIN] loss: 0.0557, accu-50: 94.43%, iou: 89.47%, f1: 94.43% 438.69ms [EVAL] [518/518 step] loss: 0.6573, accu-50: 61.43%, iou: 21.77%, f1: 34.27%, 76.44ms
@20230611_0744 [EP 269/500] took: 0h:16m:11s, ETA: 2d:14h:18m:21s [TRAIN] loss: 0.0557, accu-50: 94.39%, iou: 89.48%, f1: 94.43% 439.19ms [EVAL] [518/518 step] loss: 0.4452, accu-50: 95.33%, iou: 39.52%, f1: 55.48%, 76.55ms
@20230611_0801 [EP 270/500] took: 0h:16m:11s, ETA: 2d:14h:2m:10s [TRAIN] loss: 0.0555, accu-50: 94.41%, iou: 89.50%, f1: 94.45% 440.02ms [EVAL] [518/518 step] loss: 0.9000, accu-50: 57.02%, iou: 5.69%, f1: 10.00%, 76.43ms
@20230611_0817 [EP 271/500] took: 0h:16m:11s, ETA: 2d:13h:45m:59s [TRAIN] loss: 0.0556, accu-50: 94.44%, iou: 89.50%, f1: 94.44% 439.24ms [EVAL] [518/518 step] loss: 0.9903, accu-50: 0.48%, iou: 0.49%, f1: 0.97%, 76.56ms
@20230611_0833 [EP 272/500] took: 0h:16m:11s, ETA: 2d:13h:29m:48s [TRAIN] loss: 0.0556, accu-50: 94.40%, iou: 89.49%, f1: 94.44% 439.44ms [EVAL] [518/518 step] loss: 0.8891, accu-50: 31.94%, iou: 6.98%, f1: 11.09%, 76.54ms
@20230611_0849 [EP 273/500] took: 0h:16m:11s, ETA: 2d:13h:13m:37s [TRAIN] loss: 0.0556, accu-50: 94.47%, iou: 89.50%, f1: 94.44% 438.71ms [EVAL] [518/518 step] loss: 0.1053, accu-50: 86.64%, iou: 81.14%, f1: 89.47%, 76.64ms
@20230611_0906 [EP 274/500] took: 0h:16m:11s, ETA: 2d:12h:57m:26s [TRAIN] loss: 0.0556, accu-50: 94.40%, iou: 89.50%, f1: 94.44% 439.94ms [EVAL] [518/518 step] loss: 0.1327, accu-50: 82.99%, iou: 76.87%, f1: 86.73%, 76.28ms
@20230611_0922 [EP 275/500] took: 0h:16m:11s, ETA: 2d:12h:41m:15s [TRAIN] loss: 0.0555, accu-50: 94.39%, iou: 89.51%, f1: 94.45% 439.32ms [EVAL] [518/518 step] loss: 0.4148, accu-50: 70.62%, iou: 42.59%, f1: 58.52%, 76.51ms
@20230611_0938 [EP 276/500] took: 0h:16m:11s, ETA: 2d:12h:25m:4s [TRAIN] loss: 0.0553, accu-50: 94.44%, iou: 89.55%, f1: 94.47% 440.41ms [EVAL] [518/518 step] loss: 0.6239, accu-50: 31.48%, iou: 24.04%, f1: 37.61%, 76.60ms
@20230611_0954 [EP 277/500] took: 0h:16m:11s, ETA: 2d:12h:8m:53s [TRAIN] loss: 0.0553, accu-50: 94.44%, iou: 89.54%, f1: 94.47% 440.33ms [EVAL] [518/518 step] loss: 0.4350, accu-50: 63.05%, iou: 40.53%, f1: 56.50%, 76.61ms
@20230611_1010 [EP 278/500] took: 0h:16m:11s, ETA: 2d:11h:52m:42s [TRAIN] loss: 0.0554, accu-50: 94.47%, iou: 89.54%, f1: 94.46% 438.55ms [EVAL] [518/518 step] loss: 0.9899, accu-50: 0.50%, iou: 0.51%, f1: 1.01%, 76.36ms
@20230611_1027 [EP 279/500] took: 0h:16m:11s, ETA: 2d:11h:36m:31s [TRAIN] loss: 0.0556, accu-50: 94.45%, iou: 89.50%, f1: 94.44% 439.00ms [EVAL] [518/518 step] loss: 0.9266, accu-50: 3.63%, iou: 3.95%, f1: 7.34%, 76.29ms
@20230611_1043 [EP 280/500] took: 0h:16m:11s, ETA: 2d:11h:20m:20s [TRAIN] loss: 0.0553, accu-50: 94.55%, iou: 89.54%, f1: 94.47% 439.64ms [EVAL] [518/518 step] loss: 0.4638, accu-50: 57.04%, iou: 37.59%, f1: 53.62%, 76.55ms
@20230611_1059 [EP 281/500] took: 0h:16m:11s, ETA: 2d:11h:4m:9s [TRAIN] loss: 0.0553, accu-50: 94.48%, iou: 89.56%, f1: 94.47% 438.49ms [EVAL] [518/518 step] loss: 0.6857, accu-50: 20.79%, iou: 19.57%, f1: 31.43%, 76.45ms
@20230611_1115 [EP 282/500] took: 0h:16m:11s, ETA: 2d:10h:47m:58s [TRAIN] loss: 0.0552, accu-50: 94.43%, iou: 89.56%, f1: 94.48% 439.03ms [EVAL] [518/518 step] loss: 0.2752, accu-50: 96.06%, iou: 57.49%, f1: 72.48%, 76.46ms
@20230611_1131 [EP 283/500] took: 0h:16m:11s, ETA: 2d:10h:31m:47s [TRAIN] loss: 0.0552, accu-50: 94.53%, iou: 89.56%, f1: 94.48% 439.75ms [EVAL] [518/518 step] loss: 0.7434, accu-50: 71.42%, iou: 15.90%, f1: 25.66%, 76.46ms
@20230611_1148 [EP 284/500] took: 0h:16m:11s, ETA: 2d:10h:15m:36s [TRAIN] loss: 0.0552, accu-50: 94.41%, iou: 89.56%, f1: 94.48% 439.76ms [EVAL] [518/518 step] loss: 0.1474, accu-50: 83.78%, iou: 74.62%, f1: 85.26%, 76.61ms
@20230611_1204 [EP 285/500] took: 0h:16m:11s, ETA: 2d:9h:59m:25s [TRAIN] loss: 0.0552, accu-50: 94.46%, iou: 89.57%, f1: 94.48% 438.70ms [EVAL] [518/518 step] loss: 0.5791, accu-50: 70.07%, iou: 27.61%, f1: 42.09%, 76.42ms
@20230611_1220 [EP 286/500] took: 0h:16m:11s, ETA: 2d:9h:43m:14s [TRAIN] loss: 0.0550, accu-50: 94.47%, iou: 89.60%, f1: 94.50% 440.67ms [EVAL] [518/518 step] loss: 0.9803, accu-50: 1.14%, iou: 1.01%, f1: 1.97%, 76.58ms
@20230611_1236 [EP 287/500] took: 0h:16m:11s, ETA: 2d:9h:27m:3s [TRAIN] loss: 0.0553, accu-50: 94.49%, iou: 89.55%, f1: 94.47% 440.06ms [EVAL] [518/518 step] loss: 0.9657, accu-50: 1.82%, iou: 1.78%, f1: 3.43%, 76.28ms
@20230611_1253 [EP 288/500] took: 0h:16m:11s, ETA: 2d:9h:10m:52s [TRAIN] loss: 0.0554, accu-50: 94.46%, iou: 89.53%, f1: 94.46% 439.72ms [EVAL] [518/518 step] loss: 0.8552, accu-50: 13.25%, iou: 8.49%, f1: 14.48%, 76.54ms
@20230611_1309 [EP 289/500] took: 0h:16m:11s, ETA: 2d:8h:54m:41s [TRAIN] loss: 0.0551, accu-50: 94.50%, iou: 89.58%, f1: 94.49% 435.09ms [EVAL] [518/518 step] loss: 0.1304, accu-50: 89.35%, iou: 77.12%, f1: 86.96%, 76.44ms
@20230611_1325 [EP 290/500] took: 0h:16m:11s, ETA: 2d:8h:38m:30s [TRAIN] loss: 0.0550, accu-50: 94.57%, iou: 89.59%, f1: 94.50% 440.02ms [EVAL] [518/518 step] loss: 0.9484, accu-50: 2.78%, iou: 2.77%, f1: 5.16%, 76.38ms
@20230611_1341 [EP 291/500] took: 0h:16m:11s, ETA: 2d:8h:22m:19s [TRAIN] loss: 0.0550, accu-50: 94.51%, iou: 89.61%, f1: 94.50% 439.48ms [EVAL] [518/518 step] loss: 0.2940, accu-50: 90.03%, iou: 55.40%, f1: 70.60%, 76.56ms
@20230611_1357 [EP 292/500] took: 0h:16m:11s, ETA: 2d:8h:6m:8s [TRAIN] loss: 0.0551, accu-50: 94.48%, iou: 89.59%, f1: 94.49% 439.54ms [EVAL] [518/518 step] loss: 0.7492, accu-50: 42.80%, iou: 15.83%, f1: 25.08%, 76.46ms
@20230611_1413 [EP 293/500] took: 0h:16m:11s, ETA: 2d:7h:49m:57s [TRAIN] loss: 0.0550, accu-50: 94.45%, iou: 89.60%, f1: 94.50% 439.92ms [EVAL] [518/518 step] loss: 0.2781, accu-50: 87.79%, iou: 57.11%, f1: 72.19%, 76.72ms
@20230611_1430 [EP 294/500] took: 0h:16m:11s, ETA: 2d:7h:33m:46s [TRAIN] loss: 0.0551, accu-50: 94.48%, iou: 89.59%, f1: 94.49% 439.29ms [EVAL] [518/518 step] loss: 0.7642, accu-50: 13.23%, iou: 14.12%, f1: 23.58%, 76.66ms
@20230611_1446 [EP 295/500] took: 0h:16m:11s, ETA: 2d:7h:17m:35s [TRAIN] loss: 0.0550, accu-50: 94.52%, iou: 89.60%, f1: 94.50% 439.93ms [EVAL] [518/518 step] loss: 0.1130, accu-50: 88.70%, iou: 79.83%, f1: 88.70%, 76.37ms
@20230611_1502 [EP 296/500] took: 0h:16m:11s, ETA: 2d:7h:1m:24s [TRAIN] loss: 0.0552, accu-50: 94.43%, iou: 89.58%, f1: 94.48% 439.32ms [EVAL] [518/518 step] loss: 0.8704, accu-50: 10.42%, iou: 7.30%, f1: 12.96%, 76.94ms
@20230611_1518 [EP 297/500] took: 0h:16m:11s, ETA: 2d:6h:45m:13s [TRAIN] loss: 0.0550, accu-50: 94.54%, iou: 89.59%, f1: 94.50% 439.77ms [EVAL] [518/518 step] loss: 0.9524, accu-50: 3.44%, iou: 2.53%, f1: 4.76%, 75.97ms
@20230611_1535 [EP 298/500] took: 0h:16m:11s, ETA: 2d:6h:29m:2s [TRAIN] loss: 0.0550, accu-50: 94.46%, iou: 89.60%, f1: 94.50% 439.87ms [EVAL] [518/518 step] loss: 0.3895, accu-50: 83.49%, iou: 45.20%, f1: 61.05%, 76.38ms
@20230611_1551 [EP 299/500] took: 0h:16m:11s, ETA: 2d:6h:12m:51s [TRAIN] loss: 0.0548, accu-50: 94.55%, iou: 89.64%, f1: 94.52% 439.58ms [EVAL] [518/518 step] loss: 0.9339, accu-50: 2.92%, iou: 3.48%, f1: 6.61%, 76.24ms
@20230611_1607 [EP 300/500] took: 0h:16m:11s, ETA: 2d:5h:56m:40s [TRAIN] loss: 0.0549, accu-50: 94.47%, iou: 89.62%, f1: 94.51% 437.34ms [EVAL] [518/518 step] loss: 0.9439, accu-50: 3.43%, iou: 3.02%, f1: 5.61%, 76.27ms
