

** [elctron] Launch Training on 20230607_2015
{
  "HOST": "elctron",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "EffNet",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 300,
  "resumeWeight": "./model_weights/20230303_1849_NEW_DLV3PP_FINAL_EPOCH_300/variables/variables",
  "augmentation": true,
  "temperature_shift": 10,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 8,
  "lr_scheduling": true,
  "lr": 0.001,
  "decay_steps": 2.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* EffNet Base \n  - weight saved on eval f1 \n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230607_2032 [EP 1/500] took: 0h:16m:49s, ETA: 5d:19h:51m:31s [TRAIN] loss: 0.2638, accu-50: 35.01%, iou: 59.73%, f1: 73.62% 444.99ms [EVAL] [518/518 step] loss: 0.9466, accu-50: 37.45%, iou: 2.86%, f1: 5.34%, 77.48ms
@20230608_0138 [EP 20/500] took: 0h:16m:7s, ETA: 5d:8h:56m:0s [TRAIN] loss: 0.0846, accu-50: 91.44%, iou: 84.49%, f1: 91.54% 435.56ms [EVAL] [518/518 step] loss: 0.9945, accu-50: 3.88%, iou: 0.29%, f1: 0.55%, 76.41ms
@20230608_0154 [EP 21/500] took: 0h:16m:7s, ETA: 5d:8h:39m:53s [TRAIN] loss: 0.0823, accu-50: 91.57%, iou: 84.87%, f1: 91.77% 434.13ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 76.20ms
@20230608_0210 [EP 22/500] took: 0h:16m:7s, ETA: 5d:8h:23m:46s [TRAIN] loss: 0.0810, accu-50: 91.83%, iou: 85.08%, f1: 91.90% 435.61ms [EVAL] [518/518 step] loss: 0.9965, accu-50: 0.18%, iou: 0.18%, f1: 0.35%, 76.23ms
@20230608_0226 [EP 23/500] took: 0h:16m:7s, ETA: 5d:8h:7m:39s [TRAIN] loss: 0.0819, accu-50: 91.81%, iou: 84.94%, f1: 91.81% 437.71ms [EVAL] [518/518 step] loss: 0.9983, accu-50: 2.49%, iou: 0.10%, f1: 0.17%, 76.14ms
@20230608_0242 [EP 24/500] took: 0h:16m:7s, ETA: 5d:7h:51m:32s [TRAIN] loss: 0.0788, accu-50: 92.04%, iou: 85.45%, f1: 92.12% 436.43ms [EVAL] [518/518 step] loss: 0.9995, accu-50: 0.06%, iou: 0.03%, f1: 0.05%, 76.38ms
@20230608_0258 [EP 25/500] took: 0h:16m:6s, ETA: 5d:7h:27m:30s [TRAIN] loss: 0.0791, accu-50: 91.99%, iou: 85.41%, f1: 92.09% 436.77ms [EVAL] [518/518 step] loss: 0.9838, accu-50: 1.03%, iou: 0.84%, f1: 1.62%, 76.11ms
@20230608_0314 [EP 26/500] took: 0h:16m:6s, ETA: 5d:7h:11m:24s [TRAIN] loss: 0.0784, accu-50: 92.09%, iou: 85.52%, f1: 92.16% 436.40ms [EVAL] [518/518 step] loss: 0.9805, accu-50: 42.15%, iou: 1.08%, f1: 1.95%, 76.17ms
@20230608_0331 [EP 27/500] took: 0h:16m:6s, ETA: 5d:6h:55m:18s [TRAIN] loss: 0.0782, accu-50: 91.95%, iou: 85.56%, f1: 92.18% 436.97ms [EVAL] [518/518 step] loss: 0.9996, accu-50: 0.12%, iou: 0.02%, f1: 0.04%, 75.94ms
@20230608_0347 [EP 28/500] took: 0h:16m:6s, ETA: 5d:6h:39m:12s [TRAIN] loss: 0.0770, accu-50: 92.02%, iou: 85.77%, f1: 92.30% 437.89ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 76.43ms
@20230608_0403 [EP 29/500] took: 0h:16m:6s, ETA: 5d:6h:23m:6s [TRAIN] loss: 0.0769, accu-50: 92.17%, iou: 85.78%, f1: 92.31% 436.37ms [EVAL] [518/518 step] loss: 0.8583, accu-50: 48.04%, iou: 8.07%, f1: 14.17%, 75.88ms
@20230608_0419 [EP 30/500] took: 0h:16m:6s, ETA: 5d:6h:7m:0s [TRAIN] loss: 0.0763, accu-50: 92.17%, iou: 85.88%, f1: 92.37% 435.76ms [EVAL] [518/518 step] loss: 0.9215, accu-50: 4.80%, iou: 4.16%, f1: 7.85%, 76.15ms
@20230608_0435 [EP 31/500] took: 0h:16m:6s, ETA: 5d:5h:50m:54s [TRAIN] loss: 0.0753, accu-50: 92.20%, iou: 86.06%, f1: 92.47% 435.52ms [EVAL] [518/518 step] loss: 0.9985, accu-50: 24.02%, iou: 0.08%, f1: 0.15%, 76.51ms
@20230608_0451 [EP 32/500] took: 0h:16m:6s, ETA: 5d:5h:34m:48s [TRAIN] loss: 0.0751, accu-50: 92.36%, iou: 86.08%, f1: 92.49% 435.72ms [EVAL] [518/518 step] loss: 0.6503, accu-50: 78.80%, iou: 22.02%, f1: 34.97%, 76.02ms
@20230608_0507 [EP 33/500] took: 0h:16m:6s, ETA: 5d:5h:18m:42s [TRAIN] loss: 0.0752, accu-50: 92.20%, iou: 86.07%, f1: 92.48% 436.11ms [EVAL] [518/518 step] loss: 0.5492, accu-50: 87.35%, iou: 30.08%, f1: 45.08%, 75.97ms
@20230608_0523 [EP 34/500] took: 0h:16m:6s, ETA: 5d:5h:2m:36s [TRAIN] loss: 0.0747, accu-50: 92.42%, iou: 86.16%, f1: 92.53% 436.37ms [EVAL] [518/518 step] loss: 0.9995, accu-50: 0.05%, iou: 0.02%, f1: 0.05%, 76.39ms
@20230608_0539 [EP 35/500] took: 0h:16m:6s, ETA: 5d:4h:46m:30s [TRAIN] loss: 0.0738, accu-50: 92.46%, iou: 86.31%, f1: 92.62% 435.22ms [EVAL] [518/518 step] loss: 0.9712, accu-50: 3.75%, iou: 1.61%, f1: 2.88%, 76.15ms
@20230608_0555 [EP 36/500] took: 0h:16m:6s, ETA: 5d:4h:30m:24s [TRAIN] loss: 0.0743, accu-50: 92.42%, iou: 86.23%, f1: 92.57% 435.59ms [EVAL] [518/518 step] loss: 0.9790, accu-50: 1.04%, iou: 1.06%, f1: 2.10%, 76.11ms
@20230608_0612 [EP 37/500] took: 0h:16m:6s, ETA: 5d:4h:14m:18s [TRAIN] loss: 0.0729, accu-50: 92.67%, iou: 86.47%, f1: 92.71% 436.44ms [EVAL] [518/518 step] loss: 0.9004, accu-50: 13.83%, iou: 6.10%, f1: 9.96%, 76.50ms
@20230608_0628 [EP 38/500] took: 0h:16m:6s, ETA: 5d:3h:58m:12s [TRAIN] loss: 0.0728, accu-50: 92.57%, iou: 86.48%, f1: 92.72% 436.29ms [EVAL] [518/518 step] loss: 0.9782, accu-50: 23.97%, iou: 1.24%, f1: 2.18%, 76.22ms
@20230608_0644 [EP 39/500] took: 0h:16m:6s, ETA: 5d:3h:42m:6s [TRAIN] loss: 0.0728, accu-50: 92.64%, iou: 86.48%, f1: 92.72% 436.43ms [EVAL] [518/518 step] loss: 0.9905, accu-50: 0.70%, iou: 0.49%, f1: 0.95%, 76.14ms
@20230608_0700 [EP 40/500] took: 0h:16m:6s, ETA: 5d:3h:26m:0s [TRAIN] loss: 0.0720, accu-50: 92.65%, iou: 86.61%, f1: 92.80% 435.61ms [EVAL] [518/518 step] loss: 0.9985, accu-50: 0.24%, iou: 0.08%, f1: 0.15%, 76.01ms
@20230608_0716 [EP 41/500] took: 0h:16m:6s, ETA: 5d:3h:9m:54s [TRAIN] loss: 0.0721, accu-50: 92.66%, iou: 86.60%, f1: 92.79% 436.26ms [EVAL] [518/518 step] loss: 0.9382, accu-50: 2.86%, iou: 3.27%, f1: 6.18%, 76.16ms
@20230608_0732 [EP 42/500] took: 0h:16m:6s, ETA: 5d:2h:53m:48s [TRAIN] loss: 0.0713, accu-50: 92.87%, iou: 86.74%, f1: 92.87% 438.37ms [EVAL] [518/518 step] loss: 0.7128, accu-50: 80.32%, iou: 17.76%, f1: 28.72%, 76.44ms
@20230608_0748 [EP 43/500] took: 0h:16m:6s, ETA: 5d:2h:37m:42s [TRAIN] loss: 0.0714, accu-50: 92.77%, iou: 86.72%, f1: 92.86% 436.61ms [EVAL] [518/518 step] loss: 0.8978, accu-50: 78.79%, iou: 6.85%, f1: 10.22%, 76.24ms
@20230608_0804 [EP 44/500] took: 0h:16m:6s, ETA: 5d:2h:21m:36s [TRAIN] loss: 0.0716, accu-50: 92.81%, iou: 86.68%, f1: 92.84% 435.66ms [EVAL] [518/518 step] loss: 0.9673, accu-50: 1.57%, iou: 1.67%, f1: 3.27%, 76.00ms
@20230608_0820 [EP 45/500] took: 0h:16m:6s, ETA: 5d:2h:5m:30s [TRAIN] loss: 0.0706, accu-50: 92.88%, iou: 86.86%, f1: 92.94% 436.62ms [EVAL] [518/518 step] loss: 0.9683, accu-50: 1.45%, iou: 1.62%, f1: 3.17%, 76.42ms
@20230608_0836 [EP 46/500] took: 0h:16m:6s, ETA: 5d:1h:49m:24s [TRAIN] loss: 0.0701, accu-50: 92.95%, iou: 86.94%, f1: 92.99% 436.94ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 76.31ms
@20230608_0853 [EP 47/500] took: 0h:16m:6s, ETA: 5d:1h:33m:18s [TRAIN] loss: 0.0705, accu-50: 92.86%, iou: 86.88%, f1: 92.95% 435.55ms [EVAL] [518/518 step] loss: 0.9958, accu-50: 0.42%, iou: 0.22%, f1: 0.42%, 75.92ms
@20230608_0909 [EP 48/500] took: 0h:16m:5s, ETA: 5d:1h:9m:40s [TRAIN] loss: 0.0699, accu-50: 92.91%, iou: 86.97%, f1: 93.01% 436.04ms [EVAL] [518/518 step] loss: 0.9829, accu-50: 0.91%, iou: 0.89%, f1: 1.71%, 76.00ms
@20230608_0925 [EP 49/500] took: 0h:16m:5s, ETA: 5d:0h:53m:35s [TRAIN] loss: 0.0704, accu-50: 93.04%, iou: 86.90%, f1: 92.96% 436.95ms [EVAL] [518/518 step] loss: 0.9976, accu-50: 0.44%, iou: 0.12%, f1: 0.24%, 75.73ms
@20230608_0941 [EP 50/500] took: 0h:16m:5s, ETA: 5d:0h:37m:30s [TRAIN] loss: 0.0698, accu-50: 92.90%, iou: 86.99%, f1: 93.02% 436.89ms [EVAL] [518/518 step] loss: 0.9253, accu-50: 37.93%, iou: 4.14%, f1: 7.47%, 76.18ms
@20230608_0957 [EP 51/500] took: 0h:16m:6s, ETA: 5d:0h:28m:54s [TRAIN] loss: 0.0693, accu-50: 92.99%, iou: 87.08%, f1: 93.07% 437.70ms [EVAL] [518/518 step] loss: 0.9449, accu-50: 57.37%, iou: 3.23%, f1: 5.51%, 76.04ms
@20230608_1013 [EP 52/500] took: 0h:16m:6s, ETA: 5d:0h:12m:48s [TRAIN] loss: 0.0698, accu-50: 92.97%, iou: 87.01%, f1: 93.02% 436.55ms [EVAL] [518/518 step] loss: 0.3416, accu-50: 86.00%, iou: 49.82%, f1: 65.84%, 75.92ms
@20230608_1029 [EP 53/500] took: 0h:16m:5s, ETA: 4d:23h:49m:15s [TRAIN] loss: 0.0690, accu-50: 93.00%, iou: 87.12%, f1: 93.10% 436.07ms [EVAL] [518/518 step] loss: 0.9864, accu-50: 80.65%, iou: 0.74%, f1: 1.36%, 75.97ms
@20230608_1045 [EP 54/500] took: 0h:16m:6s, ETA: 4d:23h:40m:36s [TRAIN] loss: 0.0693, accu-50: 92.96%, iou: 87.08%, f1: 93.07% 438.05ms [EVAL] [518/518 step] loss: 0.9974, accu-50: 6.16%, iou: 0.14%, f1: 0.26%, 75.86ms
@20230608_1102 [EP 55/500] took: 0h:16m:6s, ETA: 4d:23h:24m:30s [TRAIN] loss: 0.0692, accu-50: 92.99%, iou: 87.11%, f1: 93.08% 438.05ms [EVAL] [518/518 step] loss: 0.9801, accu-50: 2.32%, iou: 1.05%, f1: 1.99%, 75.80ms
@20230608_1118 [EP 56/500] took: 0h:16m:6s, ETA: 4d:23h:8m:24s [TRAIN] loss: 0.0710, accu-50: 92.90%, iou: 86.81%, f1: 92.90% 437.42ms [EVAL] [518/518 step] loss: 0.9998, accu-50: 0.01%, iou: 0.01%, f1: 0.02%, 75.73ms
@20230608_1134 [EP 57/500] took: 0h:16m:6s, ETA: 4d:22h:52m:18s [TRAIN] loss: 0.0697, accu-50: 92.88%, iou: 87.02%, f1: 93.03% 437.60ms [EVAL] [518/518 step] loss: 0.9888, accu-50: 0.56%, iou: 0.57%, f1: 1.12%, 75.79ms
@20230608_1150 [EP 58/500] took: 0h:16m:6s, ETA: 4d:22h:36m:12s [TRAIN] loss: 0.0690, accu-50: 93.04%, iou: 87.15%, f1: 93.10% 436.99ms [EVAL] [518/518 step] loss: 0.8891, accu-50: 6.56%, iou: 6.03%, f1: 11.09%, 75.73ms
@20230608_1206 [EP 59/500] took: 0h:16m:6s, ETA: 4d:22h:20m:6s [TRAIN] loss: 0.0696, accu-50: 92.94%, iou: 87.04%, f1: 93.04% 436.88ms [EVAL] [518/518 step] loss: 0.7194, accu-50: 81.42%, iou: 17.70%, f1: 28.06%, 75.79ms
@20230608_1222 [EP 60/500] took: 0h:16m:6s, ETA: 4d:22h:4m:0s [TRAIN] loss: 0.0694, accu-50: 92.85%, iou: 87.08%, f1: 93.06% 436.59ms [EVAL] [518/518 step] loss: 0.9569, accu-50: 2.09%, iou: 2.22%, f1: 4.31%, 75.85ms
@20230608_1238 [EP 61/500] took: 0h:16m:6s, ETA: 4d:21h:47m:54s [TRAIN] loss: 0.0693, accu-50: 92.98%, iou: 87.10%, f1: 93.07% 437.41ms [EVAL] [518/518 step] loss: 0.9816, accu-50: 43.99%, iou: 1.03%, f1: 1.84%, 75.71ms
@20230608_1254 [EP 62/500] took: 0h:16m:6s, ETA: 4d:21h:31m:48s [TRAIN] loss: 0.0680, accu-50: 93.10%, iou: 87.32%, f1: 93.20% 436.29ms [EVAL] [518/518 step] loss: 0.9811, accu-50: 0.95%, iou: 0.96%, f1: 1.89%, 75.99ms
@20230608_1310 [EP 63/500] took: 0h:16m:6s, ETA: 4d:21h:15m:42s [TRAIN] loss: 0.0679, accu-50: 93.07%, iou: 87.33%, f1: 93.21% 436.22ms [EVAL] [518/518 step] loss: 0.8639, accu-50: 87.66%, iou: 8.08%, f1: 13.61%, 75.92ms
@20230608_1327 [EP 64/500] took: 0h:16m:6s, ETA: 4d:20h:59m:36s [TRAIN] loss: 0.0677, accu-50: 93.18%, iou: 87.37%, f1: 93.23% 435.85ms [EVAL] [518/518 step] loss: 0.9920, accu-50: 0.88%, iou: 0.41%, f1: 0.80%, 75.68ms
@20230608_1343 [EP 65/500] took: 0h:16m:6s, ETA: 4d:20h:43m:30s [TRAIN] loss: 0.0680, accu-50: 93.09%, iou: 87.32%, f1: 93.20% 436.68ms [EVAL] [518/518 step] loss: 0.8194, accu-50: 31.63%, iou: 10.89%, f1: 18.06%, 75.83ms
@20230608_1359 [EP 66/500] took: 0h:16m:5s, ETA: 4d:20h:20m:10s [TRAIN] loss: 0.0672, accu-50: 93.19%, iou: 87.46%, f1: 93.28% 435.75ms [EVAL] [518/518 step] loss: 0.8620, accu-50: 78.91%, iou: 8.48%, f1: 13.80%, 76.05ms
@20230608_1415 [EP 67/500] took: 0h:16m:5s, ETA: 4d:20h:4m:5s [TRAIN] loss: 0.0669, accu-50: 93.22%, iou: 87.51%, f1: 93.31% 435.56ms [EVAL] [518/518 step] loss: 0.9177, accu-50: 5.39%, iou: 4.47%, f1: 8.23%, 75.74ms
@20230608_1431 [EP 68/500] took: 0h:16m:5s, ETA: 4d:19h:48m:0s [TRAIN] loss: 0.0669, accu-50: 93.13%, iou: 87.50%, f1: 93.31% 435.49ms [EVAL] [518/518 step] loss: 0.4895, accu-50: 76.06%, iou: 35.12%, f1: 51.05%, 75.81ms
@20230608_1447 [EP 69/500] took: 0h:16m:5s, ETA: 4d:19h:31m:55s [TRAIN] loss: 0.0664, accu-50: 93.20%, iou: 87.60%, f1: 93.36% 436.25ms [EVAL] [518/518 step] loss: 0.8733, accu-50: 43.99%, iou: 7.60%, f1: 12.67%, 75.70ms
@20230608_1503 [EP 70/500] took: 0h:16m:5s, ETA: 4d:19h:15m:50s [TRAIN] loss: 0.0666, accu-50: 93.34%, iou: 87.56%, f1: 93.34% 436.82ms [EVAL] [518/518 step] loss: 0.9985, accu-50: 0.11%, iou: 0.08%, f1: 0.15%, 75.83ms
@20230608_1519 [EP 71/500] took: 0h:16m:5s, ETA: 4d:18h:59m:45s [TRAIN] loss: 0.0664, accu-50: 93.28%, iou: 87.59%, f1: 93.36% 437.04ms [EVAL] [518/518 step] loss: 0.9617, accu-50: 33.07%, iou: 2.14%, f1: 3.83%, 75.86ms
@20230608_1535 [EP 72/500] took: 0h:16m:5s, ETA: 4d:18h:43m:40s [TRAIN] loss: 0.0658, accu-50: 93.32%, iou: 87.69%, f1: 93.42% 436.69ms [EVAL] [518/518 step] loss: 0.8710, accu-50: 20.77%, iou: 7.29%, f1: 12.90%, 75.76ms
@20230608_1552 [EP 73/500] took: 0h:16m:6s, ETA: 4d:18h:34m:42s [TRAIN] loss: 0.0663, accu-50: 93.37%, iou: 87.60%, f1: 93.37% 437.22ms [EVAL] [518/518 step] loss: 0.1449, accu-50: 82.66%, iou: 75.01%, f1: 85.51%, 76.03ms
@20230608_1608 [EP 74/500] took: 0h:16m:6s, ETA: 4d:18h:18m:36s [TRAIN] loss: 0.0655, accu-50: 93.43%, iou: 87.74%, f1: 93.45% 436.33ms [EVAL] [518/518 step] loss: 0.7900, accu-50: 12.89%, iou: 11.85%, f1: 21.00%, 75.59ms
@20230608_1624 [EP 75/500] took: 0h:16m:6s, ETA: 4d:18h:2m:30s [TRAIN] loss: 0.0654, accu-50: 93.34%, iou: 87.77%, f1: 93.46% 438.10ms [EVAL] [518/518 step] loss: 0.6175, accu-50: 55.28%, iou: 24.50%, f1: 38.25%, 75.91ms
@20230608_1640 [EP 76/500] took: 0h:16m:6s, ETA: 4d:17h:46m:24s [TRAIN] loss: 0.0660, accu-50: 93.33%, iou: 87.66%, f1: 93.40% 437.07ms [EVAL] [518/518 step] loss: 0.8827, accu-50: 39.40%, iou: 6.65%, f1: 11.73%, 75.75ms
@20230608_1656 [EP 77/500] took: 0h:16m:6s, ETA: 4d:17h:30m:18s [TRAIN] loss: 0.0654, accu-50: 93.43%, iou: 87.76%, f1: 93.46% 439.60ms [EVAL] [518/518 step] loss: 0.8380, accu-50: 73.05%, iou: 9.62%, f1: 16.20%, 75.67ms
@20230608_1713 [EP 78/500] took: 0h:16m:6s, ETA: 4d:17h:14m:12s [TRAIN] loss: 0.0654, accu-50: 93.39%, iou: 87.76%, f1: 93.46% 435.99ms [EVAL] [518/518 step] loss: 0.8216, accu-50: 60.89%, iou: 10.48%, f1: 17.84%, 75.73ms
@20230608_1729 [EP 79/500] took: 0h:16m:6s, ETA: 4d:16h:58m:6s [TRAIN] loss: 0.0648, accu-50: 93.41%, iou: 87.86%, f1: 93.52% 437.67ms [EVAL] [518/518 step] loss: 0.7874, accu-50: 32.69%, iou: 12.81%, f1: 21.26%, 75.76ms
@20230608_1745 [EP 80/500] took: 0h:16m:6s, ETA: 4d:16h:42m:0s [TRAIN] loss: 0.0654, accu-50: 93.37%, iou: 87.77%, f1: 93.46% 438.01ms [EVAL] [518/518 step] loss: 0.3951, accu-50: 87.32%, iou: 44.40%, f1: 60.49%, 75.79ms
@20230608_1801 [EP 81/500] took: 0h:16m:6s, ETA: 4d:16h:25m:54s [TRAIN] loss: 0.0647, accu-50: 93.43%, iou: 87.88%, f1: 93.53% 442.24ms [EVAL] [518/518 step] loss: 0.9749, accu-50: 1.05%, iou: 1.29%, f1: 2.51%, 75.96ms
@20230608_1817 [EP 82/500] took: 0h:16m:6s, ETA: 4d:16h:9m:48s [TRAIN] loss: 0.0646, accu-50: 93.48%, iou: 87.91%, f1: 93.54% 438.44ms [EVAL] [518/518 step] loss: 0.8669, accu-50: 76.11%, iou: 8.47%, f1: 13.31%, 76.01ms
@20230608_1833 [EP 83/500] took: 0h:16m:6s, ETA: 4d:15h:53m:42s [TRAIN] loss: 0.0648, accu-50: 93.40%, iou: 87.86%, f1: 93.52% 436.16ms [EVAL] [518/518 step] loss: 0.9876, accu-50: 0.62%, iou: 0.63%, f1: 1.24%, 75.92ms
@20230608_1850 [EP 84/500] took: 0h:16m:6s, ETA: 4d:15h:37m:36s [TRAIN] loss: 0.0645, accu-50: 93.50%, iou: 87.91%, f1: 93.55% 438.21ms [EVAL] [518/518 step] loss: 0.8814, accu-50: 46.91%, iou: 7.17%, f1: 11.86%, 76.03ms
@20230608_1906 [EP 85/500] took: 0h:16m:6s, ETA: 4d:15h:21m:30s [TRAIN] loss: 0.0643, accu-50: 93.53%, iou: 87.95%, f1: 93.57% 436.42ms [EVAL] [518/518 step] loss: 0.5441, accu-50: 30.42%, iou: 30.88%, f1: 45.59%, 75.88ms
